customer_id,region,customer_type,acquisition_channel,tenure_months,orders,discount_pct,returns,revenue
C000051,North,Consumer,Organic,10,5,9.0,0,5836.05
C000052,North,Consumer,Referral,9,3,7.4,0,3658.37
C000053,West,SMB,Social,7,3,15.5,0,9337.13
C000054,East,Consumer,Organic,41,4,5.6,0,6181.16
C000055,East,SMB,Social,32,10,18.0,0,19753.84
C000056,West,Consumer,Organic,18,7,0.9,1,11304.39
C000057,South,Consumer,Partner,34,7,8.0,0,12612.1
C000058,South,Consumer,Partner,36,9,9.2,0,12597.46
C000059,North,SMB,Referral,16,7,1.3,0,15471.57
C000060,North,Enterprise,Partner,8,11,10.8,0,96144.26
C000061,East,SMB,Social,24,8,18.2,0,19235.83
C000062,South,Consumer,Organic,42,10,0.0,0,17489.05
C000063,South,SMB,Organic,30,10,3.8,1,38462.71
C000064,East,Consumer,Organic,47,8,3.9,1,12783.3
C000065,East,Consumer,Paid Search,35,8,9.3,0,11091.33
C000066,South,Enterprise,Referral,67,32,4.7,4,225603.54
C000067,South,Consumer,Paid Search,25,9,10.4,0,9831.89
C000068,South,Enterprise,Referral,15,6,8.8,0,54878.61
C000069,North,Consumer,Paid Search,32,8,15.7,0,10249.01
C000070,South,Consumer,Organic,43,13,6.7,1,20582.53
C000071,North,Consumer,Organic,22,7,2.3,0,14386.47
C000072,South,Enterprise,Partner,36,20,10.4,3,201303.11
C000073,West,Consumer,Paid Search,14,5,13.8,1,6542.69
C000074,South,SMB,Paid Search,35,11,3.2,0,30327.74
C000075,North,Consumer,Organic,72,11,8.7,0,17138.44
C000076,South,SMB,Partner,14,7,8.4,0,23209.95
C000077,South,Consumer,Organic,23,6,5.5,0,8961.42
C000078,East,Consumer,Referral,29,8,1.8,0,6136.22
C000079,South,SMB,Organic,18,7,9.8,0,17201.56
C000080,West,SMB,Organic,14,6,6.0,1,21046.92
C000081,East,Consumer,Social,20,5,17.3,0,4310.89
C000082,South,Consumer,Referral,39,11,3.0,0,19767.31
C000083,West,Consumer,Referral,5,4,8.5,0,6299.4
C000084,North,Enterprise,Organic,10,4,6.6,0,26046.23
C000085,North,SMB,Partner,17,7,7.5,0,23255.46
C000086,North,SMB,Referral,36,10,3.1,0,28611.38
C000087,East,SMB,Partner,20,7,7.8,0,16916.03
C000088,South,SMB,Organic,12,9,2.1,0,23104.03
C000089,North,Consumer,Paid Search,50,5,9.9,0,8759.81
C000090,South,Consumer,Paid Search,23,9,15.5,1,9886.32
C000091,North,SMB,Social,14,5,15.3,0,9987.07
C000092,East,Consumer,Social,29,3,14.8,0,3549.66
C000093,South,Consumer,Paid Search,28,6,8.5,0,7445.68
C000094,South,Consumer,Organic,23,4,4.9,0,9491.77
C000095,South,SMB,Organic,11,6,4.5,1,15518.49
C000096,East,SMB,Organic,36,7,2.1,0,21683.98
C000097,South,Consumer,Social,56,16,18.3,0,29959.22
C000098,North,Enterprise,Organic,26,14,8.1,0,126190.01
C000099,North,Consumer,Organic,6,3,2.7,0,3764.66
C000100,West,Consumer,Paid Search,72,10,13.2,1,14642.85
C000101,West,Enterprise,Organic,29,11,0.0,0,128741.87
C000102,East,SMB,Partner,9,3,9.0,0,5461.52
C000103,South,Enterprise,Paid Search,35,19,14.3,1,189618.74
C000104,West,SMB,Partner,42,15,4.6,0,49728.61
C000105,East,SMB,Referral,20,1,7.0,0,3664.47
C000106,East,Consumer,Referral,4,1,7.4,0,1361.92
C000107,South,Consumer,Paid Search,24,8,20.7,0,10791.1
C000108,South,Enterprise,Referral,8,6,14.7,0,54866.2
C000109,North,SMB,Referral,29,8,8.0,0,17230.53
C000110,West,Consumer,Organic,12,1,3.0,0,1297.79
C000111,South,Consumer,Partner,27,10,8.7,0,15274.91
C000112,North,Consumer,Paid Search,15,2,15.4,0,2285.62
C000113,South,Consumer,Paid Search,25,9,7.0,0,12220.61
C000114,South,SMB,Paid Search,35,16,5.7,0,74843.87
C000115,North,Consumer,Referral,36,11,3.6,0,22771.06
C000116,West,Consumer,Paid Search,10,3,14.3,0,2435.75
C000117,East,Enterprise,Paid Search,16,6,14.5,1,39560.41
C000118,East,Consumer,Organic,17,2,6.3,0,1993.37
C000119,South,Consumer,Paid Search,24,11,15.3,0,19350.93
C000120,East,Consumer,Organic,44,7,4.5,0,9435.53
C000121,South,Consumer,Partner,18,8,7.2,0,16420.3
C000122,East,Consumer,Paid Search,27,6,13.2,0,5918.15
C000123,North,Consumer,Partner,17,3,13.1,0,3233.78
C000124,South,Consumer,Referral,12,3,8.2,1,4349.37
C000125,North,Consumer,Social,5,5,14.7,0,5677.25
C000126,South,Consumer,Partner,14,4,9.2,0,5883.07
C000127,South,Consumer,Organic,7,2,9.3,1,3795.07
C000128,North,Enterprise,Referral,8,3,5.9,0,26346.53
C000129,North,Consumer,Organic,25,6,3.7,0,8168.01
C000130,South,Consumer,Organic,27,6,3.6,0,9647.07
C000131,North,SMB,Paid Search,37,12,14.4,1,22455.31
C000132,West,Consumer,Referral,3,8,4.7,0,8125.22
C000133,South,Consumer,Social,33,10,16.9,1,17469.44
C000134,South,SMB,Organic,1,6,0.6,0,16901.35
C000135,South,Consumer,Social,12,2,14.2,0,3771.78
C000136,North,Consumer,Organic,17,6,4.8,0,8058.58
C000137,West,SMB,Organic,12,8,10.4,3,23193.89
C000138,South,SMB,Organic,19,11,7.9,0,39473.83
C000139,West,Consumer,Referral,23,9,5.9,0,16121.99
C000140,North,Consumer,Paid Search,1,1,10.4,0,1212.64
C000141,South,Consumer,Organic,28,9,3.0,0,14610.76
C000142,South,SMB,Organic,13,3,1.6,0,9706.22
C000143,West,Consumer,Referral,32,11,11.8,0,16481.85
C000144,South,Consumer,Social,33,6,12.7,0,8983.13
C000145,South,Consumer,Organic,21,9,10.2,0,11523.51
C000146,South,Enterprise,Social,36,22,15.3,3,179514.98
C000147,South,Consumer,Referral,10,6,6.8,0,6885.71
C000148,South,Consumer,Paid Search,12,9,12.3,0,13031.42
C000149,South,Consumer,Organic,3,4,8.6,0,6176.96
C000150,North,SMB,Partner,28,5,5.4,0,11663.12
C000151,West,Consumer,Paid Search,20,6,13.5,0,7726.05
C000152,West,SMB,Paid Search,17,1,11.9,0,2504.31
C000153,North,Consumer,Partner,17,4,9.2,1,4934.98
C000154,South,Consumer,Social,15,3,14.4,0,4930.45
C000155,North,Consumer,Social,8,4,13.9,0,5666.48
C000156,East,Consumer,Social,6,1,16.6,0,1364.58
C000157,South,Consumer,Organic,56,11,0.9,0,27256.33
C000158,East,SMB,Social,27,9,19.2,1,24453.09
C000159,East,Consumer,Paid Search,17,7,12.3,0,6095.4
C000160,East,SMB,Partner,15,5,6.4,1,11083.33
C000161,North,Consumer,Paid Search,25,11,13.1,0,18753.21
C000162,West,Consumer,Organic,41,8,2.9,0,11305.49
C000163,South,Consumer,Paid Search,21,7,12.2,1,9247.06
C000164,North,Consumer,Social,70,14,15.3,1,19016.25
C000165,South,Consumer,Referral,29,7,10.8,0,9732.42
C000166,South,Enterprise,Social,13,12,15.8,0,132978.09
C000167,West,Enterprise,Organic,6,3,1.6,0,25509.95
C000168,West,SMB,Organic,39,7,6.7,0,33325.57
C000169,South,SMB,Referral,9,4,9.2,0,10715.59
C000170,West,Consumer,Paid Search,32,6,7.2,0,7689.55
C000171,South,Consumer,Referral,25,9,3.4,0,12138.19
C000172,South,Consumer,Partner,5,1,14.0,0,1212.34
C000173,South,SMB,Referral,24,10,6.0,1,35849.28
C000174,West,Consumer,Paid Search,27,7,11.1,1,7491.14
C000175,North,Consumer,Referral,15,5,6.9,0,5711.82
C000176,North,SMB,Partner,14,8,6.1,1,25004.08
C000177,South,Consumer,Referral,16,5,1.7,0,5254.47
C000178,West,SMB,Social,39,12,11.6,0,24890.72
C000179,West,Consumer,Paid Search,14,5,10.1,0,7006.41
C000180,East,SMB,Social,4,2,13.5,0,5068.21
C000181,West,SMB,Organic,20,3,2.7,0,8596.88
C000182,West,Consumer,Social,3,1,10.5,0,1537.95
C000183,South,Consumer,Partner,24,6,6.3,0,7809.5
C000184,South,Consumer,Partner,8,2,11.3,0,3962.17
C000185,East,Consumer,Organic,16,3,3.0,0,4713.61
C000186,East,Consumer,Social,8,3,14.5,0,2942.35
C000187,South,Consumer,Organic,48,11,9.3,0,15853.15
C000188,North,Consumer,Paid Search,25,8,9.9,0,7299.34
C000189,East,Consumer,Referral,8,4,16.2,0,5449.86
C000190,South,Consumer,Paid Search,21,1,14.7,0,1089.7
C000191,West,Enterprise,Paid Search,7,2,12.2,0,14071.74
C000192,South,Consumer,Referral,16,1,6.3,0,1458.05
C000193,North,Consumer,Referral,41,8,11.0,1,8109.89
C000194,West,Consumer,Referral,25,5,4.9,0,6339.89
C000195,North,Consumer,Referral,9,3,5.7,0,4571.64
C000196,North,Enterprise,Social,6,7,19.8,0,43195.09
C000197,South,Consumer,Paid Search,28,7,10.9,0,12251.21
C000198,West,SMB,Organic,54,14,3.6,0,49310.11
C000199,North,Consumer,Referral,17,4,5.0,0,4809.99
C000200,South,SMB,Social,39,12,9.2,1,32838.09
C000201,East,SMB,Organic,25,3,8.0,0,6806.33
C000202,West,SMB,Organic,27,11,4.9,0,30394.69
C000203,South,Consumer,Partner,6,4,11.2,0,7871.46
C000204,North,Consumer,Partner,16,8,7.5,0,11533.71
C000205,North,SMB,Referral,17,3,5.7,0,6090.21
C000206,South,Consumer,Social,2,1,13.0,0,1259.29
C000207,North,Consumer,Partner,11,1,10.1,0,1229.45
C000208,East,Consumer,Referral,12,4,4.6,0,5606.97
C000209,North,Consumer,Organic,9,5,6.2,0,10087.84
C000210,South,Consumer,Referral,16,5,7.1,0,8971.27
C000211,East,Consumer,Partner,31,6,4.9,0,7547.43
C000212,South,Consumer,Referral,32,10,5.7,0,13125.04
C000213,North,Consumer,Organic,44,8,5.0,0,15147.18
C000214,West,Consumer,Partner,35,10,7.1,0,13788.61
C000215,East,SMB,Social,22,11,20.7,1,17727.46
C000216,East,Consumer,Paid Search,45,6,12.7,0,7595.65
C000217,North,SMB,Partner,13,4,7.4,1,8678.78
C000218,North,Consumer,Social,18,1,13.9,0,1473.65
C000219,West,Consumer,Social,56,9,14.3,0,11227.57
C000220,South,SMB,Partner,12,6,6.2,0,17470.83
C000221,South,SMB,Organic,2,1,2.5,0,1857.99
C000222,South,SMB,Social,6,2,16.8,0,6811.78
C000223,East,SMB,Paid Search,17,8,16.6,0,14229.95
C000224,West,SMB,Partner,8,4,6.6,0,10185.38
C000225,South,SMB,Partner,5,5,9.3,0,15547.91
C000226,West,SMB,Social,32,7,13.0,0,18631.91
C000227,North,SMB,Social,25,8,15.3,1,32176.91
C000228,South,Consumer,Social,2,6,11.1,1,6233.22
C000229,East,Consumer,Organic,37,5,2.4,0,6102.11
C000230,North,Consumer,Paid Search,66,12,9.3,2,19105.86
C000231,North,Consumer,Organic,11,4,4.6,0,5238.64
C000232,South,SMB,Social,26,7,11.5,0,20429.9
C000233,West,Consumer,Referral,8,4,0.3,0,10532.81
C000234,South,Consumer,Referral,21,1,2.9,0,1623.39
C000235,West,SMB,Organic,26,2,4.5,0,7961.68
C000236,West,Consumer,Referral,17,5,4.6,0,8555.16
C000237,South,SMB,Paid Search,10,2,10.3,0,6861.1
C000238,West,Consumer,Partner,12,2,8.8,0,2761.03
C000239,North,Consumer,Partner,3,4,5.5,0,4093.49
C000240,North,Consumer,Referral,19,6,6.8,0,10426.32
C000241,West,Consumer,Social,51,8,21.4,0,11070.18
C000242,West,Consumer,Organic,6,3,3.9,0,5054.19
C000243,South,Consumer,Organic,44,10,4.4,0,15307.84
C000244,South,Consumer,Referral,15,5,8.1,1,6659.98
C000245,East,Consumer,Social,3,1,12.5,0,1538.94
C000246,West,SMB,Organic,33,6,3.2,1,19530.6
C000247,East,Consumer,Organic,19,2,4.7,0,1784.89
C000248,South,Consumer,Referral,7,1,7.6,0,1508.38
C000249,South,Consumer,Organic,10,4,2.2,0,6074.08
C000250,South,Enterprise,Paid Search,12,9,13.7,1,42947.73
C000251,East,SMB,Paid Search,16,3,16.6,0,5816.69
C000252,West,Enterprise,Partner,20,10,2.3,0,146553.69
C000253,South,Enterprise,Paid Search,21,10,13.2,0,50622.57
C000254,South,Consumer,Organic,31,11,4.7,1,13731.51
C000255,South,SMB,Organic,19,4,4.1,0,7781.35
C000256,East,Consumer,Organic,23,4,6.0,0,3698.54
C000257,West,SMB,Social,19,3,19.1,0,5293.01
C000258,North,Consumer,Paid Search,1,2,12.8,1,2064.22
C000259,North,Consumer,Organic,6,5,7.9,0,9735.73
C000260,South,Enterprise,Partner,8,1,7.9,0,10321.94
C000261,North,SMB,Social,18,8,16.1,2,19119.26
C000262,West,Enterprise,Organic,19,14,3.4,1,168694.38
C000263,South,Consumer,Organic,15,5,5.1,0,7118.19
C000264,North,Consumer,Social,26,4,14.2,0,4252.62
C000265,West,Consumer,Referral,28,6,7.3,0,8033.41
C000266,North,Consumer,Partner,16,3,3.0,0,3180.09
C000267,South,Consumer,Organic,31,13,1.7,1,14459.58
C000268,North,Consumer,Social,14,6,18.6,0,8359.39
C000269,North,SMB,Organic,22,9,9.2,0,26197.33
C000270,North,Consumer,Paid Search,1,7,6.8,0,7564.76
C000271,North,SMB,Social,16,9,13.3,0,25702.42
C000272,North,SMB,Social,32,9,12.8,0,26058.15
C000273,North,Consumer,Organic,18,4,5.8,0,5008.48
C000274,South,Consumer,Organic,7,9,4.7,0,11696.37
C000275,East,Consumer,Social,21,2,17.0,1,2625.43
C000276,South,Consumer,Organic,15,4,0.9,0,7153.37
C000277,South,SMB,Paid Search,23,6,13.0,1,24396.03
C000278,South,Consumer,Organic,10,1,4.0,0,1728.33
C000279,West,Consumer,Organic,16,2,2.8,1,2147.81
C000280,West,Enterprise,Social,7,3,16.3,0,16495.43
C000281,North,SMB,Organic,12,3,4.3,0,8246.04
C000282,North,SMB,Referral,20,8,6.7,0,26324.43
C000283,South,Consumer,Referral,3,2,11.0,0,3131.67
C000284,South,Enterprise,Organic,16,13,5.2,0,101856.41
C000285,South,Consumer,Referral,6,3,12.8,0,3082.95
C000286,South,Consumer,Paid Search,14,5,5.0,0,10513.82
C000287,North,SMB,Social,5,2,15.0,0,6776.42
C000288,South,SMB,Social,61,25,11.7,0,54976.98
C000289,South,Consumer,Social,32,7,12.2,2,11582.21
C000290,North,Consumer,Paid Search,15,6,10.0,0,8524.24
C000291,West,Consumer,Social,44,6,17.8,0,8907.0
C000292,North,SMB,Referral,10,3,5.8,0,11485.26
C000293,West,SMB,Paid Search,38,17,8.6,1,65087.99
C000294,North,Consumer,Organic,23,7,7.0,0,10805.72
C000295,West,Consumer,Organic,10,1,1.5,0,1477.55
C000296,West,SMB,Organic,26,6,10.0,0,16021.24
C000297,West,SMB,Organic,33,14,1.1,1,41747.78
C000298,West,Consumer,Partner,17,4,7.1,1,10103.58
C000299,East,Consumer,Partner,30,5,13.8,1,5871.35
C000300,East,Enterprise,Organic,28,10,4.0,0,85834.38
C000301,East,Consumer,Partner,21,4,9.3,0,5322.77
C000302,North,Consumer,Social,5,5,14.7,1,5249.02
C000303,South,Consumer,Paid Search,21,4,12.0,0,6390.35
C000304,South,Consumer,Partner,1,1,5.5,0,1365.81
C000305,West,SMB,Social,16,7,16.4,0,15254.63
C000306,South,Consumer,Referral,25,4,11.0,0,6615.27
C000307,South,Consumer,Organic,7,1,0.0,0,1281.27
C000308,East,Consumer,Organic,31,6,2.2,0,9441.6
C000309,South,SMB,Partner,11,5,6.3,0,17328.08
C000310,North,Consumer,Organic,8,1,2.3,0,1887.36
C000311,South,Consumer,Organic,28,8,6.9,0,13527.38
C000312,South,Consumer,Organic,45,11,3.2,1,14512.75
C000313,South,Consumer,Paid Search,19,1,12.2,0,1810.33
C000314,South,Enterprise,Paid Search,42,25,16.5,2,246433.62
C000315,South,SMB,Partner,10,3,2.6,0,11529.2
C000316,South,SMB,Paid Search,9,6,13.0,0,19946.21
C000317,South,Consumer,Partner,36,14,7.6,0,15882.33
C000318,East,Consumer,Referral,25,5,6.6,0,7481.69
C000319,South,Enterprise,Referral,5,3,4.3,0,20909.56
C000320,West,Consumer,Organic,47,13,3.9,2,17376.15
C000321,West,SMB,Organic,16,4,5.0,0,10135.76
C000322,South,Consumer,Partner,17,10,7.4,1,11164.7
C000323,South,Consumer,Social,51,11,17.1,0,15589.66
C000324,South,Consumer,Paid Search,43,9,8.7,0,13474.03
C000325,West,Consumer,Partner,41,15,3.8,0,29642.52
C000326,East,Consumer,Social,10,3,9.0,0,4690.17
C000327,West,Consumer,Organic,21,9,5.4,0,13892.45
C000328,South,Consumer,Referral,24,6,9.3,0,10512.29
C000329,East,Consumer,Social,8,2,11.5,0,2340.21
C000330,South,SMB,Social,6,1,11.2,0,2866.37
C000331,East,Consumer,Organic,16,6,10.7,0,7417.29
C000332,North,SMB,Organic,30,10,8.8,1,26547.51
C000333,East,Consumer,Paid Search,1,1,16.0,1,1183.13
C000334,West,Consumer,Organic,18,6,6.0,0,10143.44
C000335,North,Consumer,Organic,6,2,7.1,0,2183.72
C000336,East,Enterprise,Referral,32,11,6.1,2,72823.56
C000337,North,Consumer,Referral,22,6,2.7,0,10226.97
C000338,East,Enterprise,Organic,6,4,0.9,1,27142.64
C000339,North,Consumer,Referral,33,9,7.0,0,11285.03
C000340,West,SMB,Organic,22,7,7.8,0,24908.11
C000341,North,SMB,Paid Search,15,4,11.5,0,9159.11
C000342,West,Enterprise,Social,61,26,16.8,0,210549.38
C000343,West,Consumer,Partner,16,2,7.7,0,2995.88
C000344,South,Enterprise,Organic,11,7,5.9,0,73551.92
C000345,West,Consumer,Partner,26,7,10.3,0,9759.55
C000346,West,SMB,Partner,49,13,12.0,0,30766.27
C000347,West,Consumer,Referral,1,1,7.9,0,1273.18
C000348,South,Consumer,Partner,37,11,13.8,0,21787.67
C000349,South,Consumer,Organic,27,7,4.3,0,9934.44
C000350,North,SMB,Organic,44,14,9.0,0,33904.98
C000351,East,Consumer,Social,39,7,16.7,0,7177.56
C000352,North,Consumer,Paid Search,24,4,6.5,0,5314.44
C000353,South,Consumer,Paid Search,27,3,16.2,0,3822.97
C000354,South,SMB,Organic,19,5,2.2,0,18066.22
C000355,South,Consumer,Organic,45,9,4.3,0,14503.24
C000356,South,SMB,Organic,10,5,7.6,2,13548.48
C000357,East,Consumer,Organic,19,4,2.8,0,6064.84
C000358,West,SMB,Partner,31,7,7.8,0,21508.3
C000359,South,SMB,Organic,33,5,7.0,0,20008.88
C000360,South,SMB,Social,33,13,12.5,0,39989.5
C000361,West,SMB,Organic,25,10,4.3,0,29382.79
C000362,North,Consumer,Paid Search,33,9,10.9,0,11548.74
C000363,North,Consumer,Partner,27,3,10.9,0,4127.6
C000364,North,SMB,Organic,52,17,9.7,0,49560.48
C000365,East,Consumer,Organic,10,4,1.7,0,5306.02
C000366,South,Consumer,Social,33,10,15.2,0,12811.45
C000367,East,SMB,Organic,17,4,3.4,1,11825.82
C000368,East,Consumer,Organic,20,4,5.1,0,5588.25
C000369,South,Consumer,Partner,54,17,13.3,1,24410.2
C000370,West,Enterprise,Paid Search,54,29,13.1,4,257089.41
C000371,East,Consumer,Referral,45,8,5.3,1,10072.58
C000372,South,Consumer,Organic,13,4,0.9,0,6556.53
C000373,South,Consumer,Organic,12,1,8.0,0,1722.37
C000374,South,Consumer,Paid Search,6,6,10.6,1,10388.15
C000375,North,SMB,Referral,48,15,4.7,3,48871.26
C000376,North,SMB,Organic,8,4,5.9,0,9690.83
C000377,West,Consumer,Partner,15,2,9.7,0,3066.51
C000378,South,Consumer,Social,13,4,13.9,0,5732.27
C000379,South,Consumer,Referral,12,7,4.2,0,11966.92
C000380,East,Consumer,Paid Search,3,2,16.1,0,3262.26
C000381,South,SMB,Referral,14,12,9.1,0,34512.36
C000382,West,Consumer,Social,21,7,18.0,0,9080.41
C000383,West,Consumer,Organic,7,1,3.9,0,1352.47
C000384,South,SMB,Partner,10,4,5.5,0,12004.66
C000385,South,SMB,Paid Search,43,13,10.4,0,33568.17
C000386,West,Consumer,Partner,9,5,3.4,0,6138.02
C000387,East,Consumer,Partner,18,7,7.0,0,5943.59
C000388,West,Consumer,Organic,18,9,3.0,0,11964.58
C000389,North,Consumer,Paid Search,10,2,11.8,0,2334.4
C000390,West,Consumer,Referral,36,9,7.1,0,13014.58
C000391,East,SMB,Referral,42,14,7.3,0,31458.07
C000392,North,Enterprise,Social,6,8,13.2,1,72562.16
C000393,South,Consumer,Organic,13,1,1.4,0,1702.38
C000394,East,Consumer,Referral,10,4,2.7,0,6094.8
C000395,North,Consumer,Partner,15,1,8.6,0,1668.87
C000396,South,Consumer,Partner,18,4,8.4,1,7978.3
C000397,West,Consumer,Organic,4,1,0.8,0,1898.04
C000398,South,Consumer,Partner,18,4,12.3,0,4850.39
C000399,South,Enterprise,Organic,2,1,7.5,0,10270.32
C000400,South,SMB,Referral,54,15,3.9,1,50717.07
C000401,South,Enterprise,Organic,40,19,5.8,2,219064.56
C000402,West,Consumer,Referral,21,6,6.6,0,8871.95
C000403,West,Consumer,Organic,4,2,5.8,0,3730.55
C000404,North,Consumer,Organic,32,3,5.5,0,4338.31
C000405,West,Consumer,Paid Search,14,11,14.0,0,15321.82
C000406,West,Consumer,Partner,37,7,12.4,0,11034.0
C000407,South,SMB,Referral,34,9,7.9,0,25685.76
C000408,West,SMB,Social,15,7,16.6,0,20538.97
C000409,North,Consumer,Referral,17,4,11.4,1,3923.63
C000410,West,Consumer,Paid Search,10,1,10.4,0,1554.49
C000411,East,Consumer,Organic,5,3,2.2,0,3071.33
C000412,East,Consumer,Organic,18,2,7.0,1,2805.41
C000413,North,Consumer,Paid Search,29,5,8.3,0,3684.45
C000414,West,Consumer,Partner,20,8,5.6,0,8274.21
C000415,North,Consumer,Organic,17,4,9.5,0,5487.72
C000416,South,Enterprise,Referral,27,17,1.8,1,158302.49
C000417,North,Consumer,Social,16,3,15.9,0,3598.0
C000418,East,Consumer,Partner,21,5,3.7,0,7510.66
C000419,North,Consumer,Organic,14,2,6.2,0,3390.95
C000420,West,SMB,Partner,18,4,13.5,0,18080.83
C000421,East,Consumer,Referral,7,1,4.0,0,1307.45
C000422,North,Consumer,Referral,11,1,,0,1831.87
C000423,North,Consumer,Social,53,13,16.1,1,13861.96
C000424,North,Consumer,Organic,6,4,3.1,0,5211.61
C000425,East,Consumer,Social,55,4,14.4,0,3922.52
C000426,West,Consumer,Referral,21,9,8.1,1,12743.07
C000427,South,Consumer,Social,5,4,16.7,0,5748.81
C000428,West,SMB,Partner,33,13,9.7,0,45544.84
C000429,North,Consumer,Referral,6,2,6.9,0,2992.91
C000430,West,Consumer,Organic,31,3,6.3,0,5784.28
C000431,West,Consumer,Organic,25,2,4.4,0,3947.32
C000432,East,Consumer,Partner,20,8,7.0,0,10125.36
C000433,East,Consumer,Referral,23,1,7.0,0,1229.6
C000434,West,Consumer,Partner,24,2,9.7,0,2096.79
C000435,North,Consumer,Paid Search,16,3,10.1,0,3629.31
C000436,North,Enterprise,Referral,58,22,7.6,0,146970.77
C000437,North,Consumer,Partner,44,10,6.6,0,12021.07
C000438,South,Enterprise,Social,32,19,12.8,1,142322.13
C000439,East,Enterprise,Paid Search,14,8,15.2,0,57656.56
C000440,East,Consumer,Organic,13,1,6.1,0,1343.35
C000441,West,Consumer,Partner,23,6,9.1,0,10467.55
C000442,North,Consumer,Social,13,8,12.2,1,11378.72
C000443,East,Enterprise,Paid Search,16,4,11.3,0,24114.3
C000444,North,Consumer,Referral,32,10,8.8,0,15916.15
C000445,South,Consumer,Organic,45,13,6.1,1,15311.75
C000446,East,Consumer,Paid Search,24,5,19.7,0,6590.13
C000447,West,SMB,Organic,22,8,5.7,0,20389.18
C000448,East,Consumer,Organic,4,2,3.0,0,1654.73
C000449,North,Consumer,Social,31,4,13.7,0,5773.76
C000450,East,Consumer,Paid Search,34,2,9.4,0,2299.59
C000451,North,Consumer,Social,39,10,13.1,0,16487.12
C000452,West,SMB,Paid Search,72,17,12.3,0,56935.59
C000453,East,SMB,Organic,13,1,3.6,0,2136.88
C000454,North,Consumer,Paid Search,49,9,16.0,1,15378.11
C000455,North,Consumer,Organic,46,10,7.6,0,9508.01
C000456,North,SMB,Referral,22,6,9.6,1,17857.43
C000457,West,Consumer,Partner,6,1,7.2,0,1943.42
C000458,South,Consumer,Social,43,13,17.7,0,14408.2
C000459,West,Consumer,Social,51,10,18.1,2,19679.19
C000460,East,Consumer,Partner,8,1,12.8,0,1215.99
C000461,South,Enterprise,Social,30,18,13.4,1,157027.96
C000462,North,SMB,Referral,21,7,7.0,0,24701.21
C000463,West,Consumer,Social,20,5,12.7,0,7474.5
