date,promotion,holiday,stockout,demand
2026-01-07,0,0,1,192
2026-01-08,0,0,1,233
2026-01-09,0,0,0,341
2026-01-10,1,0,0,368
2026-01-11,0,0,0,320
2026-01-12,0,0,0,274
2026-01-13,0,0,0,256
2026-01-14,0,0,0,320
2026-01-15,0,0,0,315
2026-01-16,0,0,0,326
2026-01-17,0,0,0,323
2026-01-18,0,0,0,261
2026-01-19,0,0,0,248
2026-01-20,0,0,0,248
2026-01-21,0,0,0,278
2026-01-22,0,0,1,193
2026-01-23,0,0,0,319
2026-01-24,0,0,0,300
2026-01-25,1,0,0,301
2026-01-26,0,0,0,230
2026-01-27,0,0,0,265
2026-01-28,0,0,0,282
2026-01-29,0,0,0,317
2026-01-30,1,0,0,373
2026-01-31,0,0,0,309
2026-02-01,0,0,0,295
2026-02-02,0,0,0,276
2026-02-03,0,0,0,288
2026-02-04,0,0,0,297
2026-02-05,0,0,0,328
2026-02-06,0,0,1,191
2026-02-07,0,0,0,333
2026-02-08,0,0,0,296
2026-02-09,0,0,0,292
2026-02-10,0,0,0,288
2026-02-11,0,0,0,312
2026-02-12,0,0,0,344
2026-02-13,0,0,0,314
2026-02-14,0,0,0,306
2026-02-15,1,0,0,322
2026-02-16,0,0,0,250
2026-02-17,0,0,0,273
2026-02-18,0,0,0,310
2026-02-19,0,0,0,317
2026-02-20,1,0,0,372
2026-02-21,0,0,0,321
2026-02-22,0,0,0,298
2026-02-23,0,0,0,266
2026-02-24,0,0,0,288
