month,region,customer_type,customers,orders,aov,revenue,conversion_rate,return_rate,retention_rate,discount_pct
2024-06-01,South,Consumer,1783,3618,1324.37,4791584.66,6.66,5.25,81.29,9.4
2024-06-01,South,SMB,1694,4627,2519.5,11657748.99,8.28,4.59,79.91,7.81
2024-06-01,South,Enterprise,1491,3026,4373.81,13235146.93,6.91,5.3,86.3,6.24
2024-06-01,East,Consumer,1231,2634,1353.48,3565071.8,7.1,2.67,84.32,7.79
2024-06-01,East,SMB,604,1368,2023.23,2767780.99,6.68,4.93,81.53,9.66
2024-06-01,East,Enterprise,1144,3123,3866.8,12076018.95,6.02,5.57,81.17,11.23
2024-06-01,West,Consumer,729,1819,1458.43,2652890.85,7.48,6.45,87.19,9.14
2024-06-01,West,SMB,1835,4897,2292.46,11226194.82,7.47,4.47,82.78,7.33
2024-06-01,West,Enterprise,912,1826,3861.49,7051078.15,6.31,4.04,81.27,12.87
2024-07-01,North,Consumer,741,1600,1429.21,2286732.02,6.87,4.22,82.46,10.24
2024-07-01,North,SMB,850,1967,2446.81,4812878.24,6.29,4.51,88.49,9.45
2024-07-01,North,Enterprise,1661,4024,4346.36,17489735.85,7.15,4.33,80.05,9.86
2024-07-01,South,Consumer,1561,3414,1601.5,5467521.26,8.07,4.87,81.28,9.91
2024-07-01,South,SMB,1214,3197,2251.99,7199620.2,6.93,2.51,78.26,11.73
2024-07-01,South,Enterprise,776,2036,4420.56,9000260.32,6.0,1.54,80.64,13.84
2024-07-01,East,Consumer,1162,2626,1352.72,3552249.9,5.95,4.2,82.25,8.83
2024-07-01,East,SMB,1611,4184,2206.71,9232863.67,7.73,3.81,84.24,12.26
2024-07-01,East,Enterprise,1870,4073,4264.42,17368985.08,7.05,5.9,80.89,11.91
2024-07-01,West,Consumer,1309,3184,1492.78,4752998.09,8.45,4.14,79.65,8.1
2024-07-01,West,SMB,1845,3705,2507.37,9289804.12,6.77,5.65,76.01,7.43
2024-07-01,West,Enterprise,598,1183,4191.38,4958402.17,7.4,4.32,81.37,8.68
2024-08-01,North,Consumer,1405,3017,1459.38,4402935.49,7.73,4.89,83.39,9.59
2024-08-01,North,SMB,623,1812,2287.98,4145821.58,6.95,3.75,79.42,6.51
2024-08-01,North,Enterprise,1362,3093,3976.02,12297839.38,7.14,4.83,82.13,7.47
2024-08-01,South,Consumer,1244,3265,1608.32,5251170.45,7.07,3.85,83.37,9.38
2024-08-01,South,SMB,742,1768,2569.78,4543365.8,6.48,4.69,78.36,11.67
2024-08-01,South,Enterprise,1385,3756,4550.0,17089808.24,7.49,2.09,79.11,8.41
2024-08-01,East,Consumer,1190,3068,1473.71,4521331.65,6.26,3.66,82.59,12.22
2024-08-01,East,SMB,1762,3690,2194.3,8096985.32,8.66,2.85,78.8,8.15
2024-08-01,East,Enterprise,1899,4943,4005.24,19797922.84,5.78,5.02,80.56,11.55
2024-08-01,West,Consumer,1231,2761,1413.85,3903641.32,7.63,5.26,83.12,5.63
2024-08-01,West,SMB,1885,4036,2449.09,9884533.33,6.06,4.95,79.98,6.43
2024-08-01,West,Enterprise,610,1572,4473.94,7033032.33,6.71,5.95,80.9,9.06
2024-09-01,North,Consumer,1903,4272,1439.58,6149866.32,6.77,4.09,85.41,6.92
2024-09-01,North,SMB,1281,2301,2522.31,5803833.71,9.24,4.09,77.16,8.38
2024-09-01,North,Enterprise,710,1670,3919.43,6545441.78,7.66,5.02,78.26,10.4
2024-09-01,South,Consumer,939,2735,1555.89,4255356.78,6.93,4.36,83.54,5.54
2024-09-01,South,SMB,633,1457,2810.5,4094898.26,7.06,6.17,79.24,10.17
2024-09-01,South,Enterprise,1106,2742,4379.1,12007492.48,7.34,5.71,81.19,5.62
2024-09-01,East,Consumer,1919,4172,1288.97,5377577.66,7.13,2.79,77.96,9.96
2024-09-01,East,SMB,1618,3671,1829.3,6715365.31,7.83,4.77,80.22,6.37
2024-09-01,East,Enterprise,974,2422,4512.39,10929010.59,7.54,4.89,81.58,10.63
2024-09-01,West,Consumer,1007,2574,1580.4,4067955.12,6.78,4.06,80.8,10.58
2024-09-01,West,SMB,1002,2289,2353.45,5387047.71,7.45,4.25,84.38,4.5
2024-09-01,West,Enterprise,692,1517,4202.97,6375909.49,5.34,3.54,79.71,8.6
2024-10-01,North,Consumer,1691,3954,1313.41,5193229.65,7.15,5.55,79.56,7.18
2024-10-01,North,SMB,1003,2547,2269.43,5780233.16,7.72,4.49,83.75,6.93
2024-10-01,North,Enterprise,787,1847,3893.6,7191470.86,5.95,5.19,81.12,6.96
2024-10-01,South,Consumer,555,1318,1644.23,2167093.75,5.38,3.0,79.69,11.92
2024-10-01,South,SMB,1625,4211,2356.92,9925005.16,6.3,4.95,82.15,10.1
2024-10-01,South,Enterprise,1029,2421,4697.1,11371682.59,7.33,5.28,84.02,5.76
2024-10-01,East,Consumer,1571,4163,1409.78,5868925.69,6.38,2.64,82.25,10.86
2024-10-01,East,SMB,1447,4123,2228.97,9190060.3,6.9,3.61,82.03,8.4
2024-10-01,East,Enterprise,1356,3948,4370.87,17256197.49,8.11,3.58,84.14,10.28
2024-10-01,West,Consumer,1207,3030,1580.22,4788068.04,7.71,5.24,83.59,9.68
2024-10-01,West,SMB,1613,3904,2334.41,9113527.99,6.18,6.18,86.32,11.72
2024-10-01,West,Enterprise,1052,2591,4767.38,12352269.68,7.21,4.7,79.27,9.79
2024-11-01,North,Consumer,1715,3557,1395.7,4964502.92,7.14,6.3,84.24,9.02
2024-11-01,North,SMB,1298,3195,2306.1,7367993.68,7.04,3.42,81.62,7.51
2024-11-01,North,Enterprise,1210,3058,4298.6,13145114.81,5.77,4.38,84.49,11.12
2024-11-01,South,Consumer,1424,3782,1543.6,5837878.48,6.52,3.42,82.86,9.76
2024-11-01,South,SMB,1335,3571,2509.93,8962951.78,6.2,4.18,82.54,8.6
2024-11-01,South,Enterprise,1616,3644,4690.1,17090723.2,6.8,3.87,82.78,8.2
2024-11-01,East,Consumer,792,1954,1226.03,2395663.96,6.82,5.94,79.09,4.77
2024-11-01,East,SMB,1553,3004,2165.78,6505991.53,7.22,4.38,85.04,3.65
2024-11-01,East,Enterprise,1337,3730,3680.85,13729575.32,6.9,3.75,79.76,8.35
2024-11-01,West,Consumer,1699,4683,1632.06,7642925.29,6.93,6.41,82.09,12.51
2024-11-01,West,SMB,1915,4658,2467.96,11495744.88,9.74,5.35,80.23,10.94
2024-11-01,West,Enterprise,1851,4274,4280.41,18294481.32,7.93,4.53,82.7,9.03
2024-12-01,North,Consumer,1053,2639,1237.29,3265220.92,7.73,3.52,78.39,8.88
2024-12-01,North,SMB,804,1946,2204.3,4289560.31,7.86,3.16,80.98,7.83
2024-12-01,North,Enterprise,1235,3050,3946.01,12035333.48,7.78,4.56,77.27,5.08
2024-12-01,South,Consumer,947,2269,1519.58,3447932.96,7.12,4.47,82.56,10.9
2024-12-01,South,SMB,1469,3095,2364.03,7316683.49,7.43,5.74,80.92,4.0
2024-12-01,South,Enterprise,2011,3969,4389.08,17420267.33,6.75,4.09,82.1,8.38
2024-12-01,East,Consumer,722,1610,1247.91,2009137.31,7.58,2.96,82.97,9.21
2024-12-01,East,SMB,1819,4298,2368.03,10177798.0,6.7,6.56,81.44,6.45
2024-12-01,East,Enterprise,1132,2412,3769.92,9093056.87,7.52,5.06,80.44,10.97
2024-12-01,West,Consumer,954,2565,1596.68,4095488.86,7.62,5.86,77.3,8.36
2024-12-01,West,SMB,619,1504,2332.2,3507624.3,7.07,6.38,81.58,9.83
2024-12-01,West,Enterprise,1949,4564,4430.03,20218673.97,7.2,4.95,84.91,12.29
2025-01-01,North,Consumer,789,2009,1303.33,2618384.71,7.13,5.44,84.16,9.42
2025-01-01,North,SMB,814,2133,2367.73,5050359.14,8.16,4.79,81.11,9.67
2025-01-01,North,Enterprise,1820,4542,3280.6,14900485.05,5.82,4.95,83.19,6.68
2025-01-01,South,Consumer,2042,4537,1666.64,7561536.55,6.81,6.74,82.0,9.82
2025-01-01,South,SMB,1801,4381,2377.84,10417335.37,7.11,4.46,78.59,8.49
2025-01-01,South,Enterprise,886,1962,4876.23,9567167.13,7.23,4.22,81.73,9.45
2025-01-01,East,Consumer,799,1717,1233.76,2118359.46,8.08,4.09,78.46,9.89
2025-01-01,East,SMB,1942,4885,1963.44,9591382.99,7.38,5.24,82.94,10.26
2025-01-01,East,Enterprise,2040,5064,3876.32,19629661.34,6.81,5.37,85.7,12.59
2025-01-01,West,Consumer,1240,3383,1460.32,4940267.45,7.48,5.27,82.3,9.26
2025-01-01,West,SMB,1062,2533,2309.33,5849523.58,6.87,5.13,82.01,9.68
2025-01-01,West,Enterprise,1195,3068,4310.82,13225586.4,7.8,4.88,78.91,11.88
2025-02-01,North,Consumer,821,1630,1312.22,2138912.62,6.38,4.55,81.32,8.33
2025-02-01,North,SMB,1746,4460,2346.9,10467186.49,7.45,4.91,83.54,4.78
2025-02-01,North,Enterprise,1732,3212,4209.09,13519587.77,7.2,5.55,84.97,9.41
2025-02-01,South,Consumer,2009,4570,1584.83,7242668.01,6.78,4.5,84.47,7.88
2025-02-01,South,SMB,842,2163,2385.06,5158890.41,7.98,5.2,82.25,7.48
2025-02-01,South,Enterprise,1983,4333,4470.96,19372669.39,7.63,3.54,83.09,6.52
2025-02-01,East,Consumer,2075,5036,1509.07,7599663.81,6.1,5.97,82.37,9.82
2025-02-01,East,SMB,1727,4195,2219.69,9311599.39,7.08,5.95,80.86,11.26
2025-02-01,East,Enterprise,1435,3422,3694.07,12641119.55,7.56,5.95,81.81,8.61
2025-02-01,West,Consumer,830,1760,1449.78,2551606.44,5.93,3.59,82.57,11.64
2025-02-01,West,SMB,1180,2658,2622.97,6971867.53,7.4,4.35,83.08,9.12
2025-02-01,West,Enterprise,1508,3660,4301.96,15745155.47,6.08,2.96,83.63,8.45
2025-03-01,North,Consumer,1352,3247,1466.77,4762616.18,7.34,3.84,85.07,12.16
2025-03-01,North,SMB,1421,3586,2434.37,8729634.91,8.19,5.63,83.54,10.2
2025-03-01,North,Enterprise,1143,2429,4376.58,10630718.25,6.12,3.71,85.26,10.68
2025-03-01,South,Consumer,1603,4443,1514.9,6730688.65,6.28,4.26,82.26,9.16
2025-03-01,South,SMB,1973,4557,2583.44,11772730.76,6.41,4.95,82.01,7.5
2025-03-01,South,Enterprise,728,1704,4568.95,7785484.81,6.98,6.27,81.75,8.51
2025-03-01,East,Consumer,682,1484,1295.23,1922117.94,6.65,5.88,81.59,11.58
2025-03-01,East,SMB,1890,4565,2166.83,9891575.27,7.13,4.5,86.3,4.36
2025-03-01,East,Enterprise,1208,2735,3951.44,10807192.13,7.75,4.97,81.04,11.04
2025-03-01,West,Consumer,915,2431,1486.23,3613034.61,7.97,4.77,80.6,10.4
2025-03-01,West,SMB,1977,4745,2628.43,12471904.97,5.24,3.08,79.03,8.27
2025-03-01,West,Enterprise,1179,2754,4011.16,11046739.14,6.41,3.64,88.14,12.6
2025-04-01,North,Consumer,1301,3004,1303.47,3915614.46,5.67,4.38,79.51,8.83
2025-04-01,North,SMB,630,1259,2194.85,2763313.03,7.32,4.87,83.04,6.36
2025-04-01,North,Enterprise,1280,2815,4359.48,12271936.75,7.19,3.12,81.21,9.73
2025-04-01,South,Consumer,1454,3712,1526.97,5668122.73,8.43,5.51,81.36,10.5
2025-04-01,South,SMB,1111,3210,2343.59,7522922.67,6.46,5.98,79.35,6.35
2025-04-01,South,Enterprise,919,2093,4736.49,9913466.96,7.12,3.85,80.31,7.58
2025-04-01,East,Consumer,964,2863,1339.49,3834964.09,7.91,4.01,81.54,7.57
2025-04-01,East,SMB,673,1169,1983.24,2318412.98,5.75,2.25,79.01,11.65
2025-04-01,East,Enterprise,2066,5624,4045.35,22751068.38,7.83,3.6,83.31,10.46
2025-04-01,West,Consumer,1746,3938,1519.35,5983206.05,7.65,3.95,79.19,6.63
2025-04-01,West,SMB,1404,2567,2427.53,6231481.45,7.46,3.71,82.07,10.14
2025-04-01,West,Enterprise,1346,3438,4820.63,16573317.28,8.22,3.5,86.21,7.94
2025-05-01,North,Consumer,1276,3084,1365.38,4210830.23,5.75,4.33,78.1,10.93
2025-05-01,North,SMB,1263,3510,2190.03,7686992.26,7.44,3.77,80.43,10.55
2025-05-01,North,Enterprise,704,1995,4078.48,8136562.44,8.0,4.6,83.99,8.11
2025-05-01,South,Consumer,1182,2822,1529.33,4315763.34,6.53,5.16,83.63,10.19
2025-05-01,South,SMB,2133,5892,2473.08,14571407.37,7.5,3.88,82.06,7.8
2025-05-01,South,Enterprise,677,1898,4720.82,8960110.91,7.03,5.69,76.57,4.97
2025-05-01,East,Consumer,910,2197,1335.78,2934698.2,6.14,4.48,87.01,10.65
2025-05-01,East,SMB,1317,3216,2105.05,6769827.7,6.88,2.37,82.64,10.69
2025-05-01,East,Enterprise,714,1595,3673.82,5859742.55,6.43,4.55,76.79,10.23
2025-05-01,West,Consumer,2088,5404,1447.85,7824196.27,5.22,3.5,85.08,3.44
2025-05-01,West,SMB,793,1669,2531.58,4225210.75,6.66,4.9,83.41,12.67
2025-05-01,West,Enterprise,1242,2917,4509.5,13154215.41,6.01,5.69,80.1,7.88
2025-06-01,North,Consumer,778,1563,1419.22,2218235.67,7.97,4.79,78.03,8.75
2025-06-01,North,SMB,1190,3076,2040.84,6277616.3,6.34,5.38,82.68,9.82
2025-06-01,North,Enterprise,1250,3146,4365.79,13734768.35,9.37,4.29,80.01,9.86
2025-06-01,South,Consumer,2126,5335,1491.33,7956253.54,6.37,6.81,82.82,7.54
2025-06-01,South,SMB,1454,3449,2491.61,8593571.85,7.65,3.21,82.88,12.83
2025-06-01,South,Enterprise,1073,2700,4515.71,12192427.81,6.79,4.09,81.37,8.24
2025-06-01,East,Consumer,2149,4226,1384.06,5849052.45,6.9,4.88,79.18,11.66
2025-06-01,East,SMB,700,1897,2286.48,4337448.92,5.99,5.33,83.01,5.79
2025-06-01,East,Enterprise,1582,3940,4079.72,16074109.06,7.34,4.79,85.68,11.45
2025-06-01,West,Consumer,800,1346,1442.0,1940934.58,7.07,2.75,82.24,11.5
2025-06-01,West,SMB,1734,4307,2282.3,9829853.95,6.66,5.98,80.64,9.92
2025-06-01,West,Enterprise,722,1395,4902.77,6839363.07,7.68,4.32,83.44,6.18
2025-07-01,North,Consumer,671,1556,1382.86,2151727.3,6.81,3.92,83.74,9.51
2025-07-01,North,SMB,981,2514,2298.79,5779148.84,7.61,4.08,87.57,5.86
2025-07-01,North,Enterprise,1595,4373,3985.26,17427524.4,8.98,5.5,84.43,9.06
2025-07-01,South,Consumer,2107,4942,1475.0305,7289600.731000001,7.51,7.9,82.45,7.18
2025-07-01,South,SMB,863,2269,2550.4986,5787081.3234,7.8,6.524117647058824,79.68,7.26
2025-07-01,South,Enterprise,1295,2578,4545.1096,11717292.548799999,7.13,6.648235294117647,74.61,6.51
2025-07-01,East,Consumer,1417,3165,1344.47,4255254.89,6.09,5.94,81.64,9.58
2025-07-01,East,SMB,1363,4063,2358.71,9583449.33,6.95,3.91,81.19,10.02
2025-07-01,East,Enterprise,1744,4013,4295.55,17238025.68,7.11,6.8,82.23,12.57
2025-07-01,West,Consumer,1631,4060,1554.93,6313028.48,6.62,3.65,83.15,10.98
2025-07-01,West,SMB,1191,2475,2217.9,5489298.94,6.06,2.73,82.27,11.25
2025-07-01,West,Enterprise,1406,3369,3811.89,12842271.75,7.05,4.34,87.24,6.09
2025-08-01,North,Consumer,1894,5353,1437.8,7696533.66,7.65,4.61,82.82,10.56
2025-08-01,North,SMB,859,1887,2421.17,4568751.72,6.1,4.83,82.45,7.77
2025-08-01,North,Enterprise,1224,2747,3929.93,10795521.19,6.92,3.4,82.81,6.7
2025-08-01,South,Consumer,816,2103,1387.9051,2918764.4253,6.75,6.76235294117647,85.31,9.66
2025-08-01,South,SMB,982,2479,2143.8261,5314544.901900001,7.17,9.676470588235293,82.33,9.14
2025-08-01,South,Enterprise,1359,3447,4722.2122,16277465.453399999,5.6,6.290588235294118,82.53,7.57
2025-08-01,East,Consumer,1196,2776,1163.25,3229180.48,6.19,1.75,81.41,8.62
2025-08-01,East,SMB,1408,3229,2301.95,7433003.62,8.16,4.33,76.66,10.23
2025-08-01,East,Enterprise,1398,3463,4180.49,14477046.99,6.27,6.51,79.6,10.5
2025-08-01,West,Consumer,1263,2498,1387.95,3467100.74,8.41,4.24,84.1,9.47
2025-08-01,West,SMB,1808,4955,2380.71,11796408.82,5.78,3.7,83.38,9.79
2025-08-01,West,Enterprise,1041,2090,4218.34,8816328.45,6.73,4.13,78.56,7.74
2025-09-01,North,Consumer,1701,4410,1467.97,6473730.9,7.08,4.11,82.35,7.37
2025-09-01,North,SMB,928,1961,2170.25,4255859.22,6.69,3.34,82.41,10.46
2025-09-01,North,Enterprise,2208,5313,4144.58,22020133.24,7.47,4.49,78.37,6.48
2025-09-01,South,Consumer,1316,3168,1586.0082,5024473.9776,5.43,8.61470588235294,84.97,8.69
2025-09-01,South,SMB,1794,3990,2436.5236,9721729.164,5.9,6.218823529411765,84.36,7.03
2025-09-01,South,Enterprise,1924,4398,4108.6096,18069665.0208,6.07,8.682941176470589,80.18,9.76
2025-09-01,East,Consumer,885,2194,1334.84,2928638.78,8.46,3.43,81.86,11.27
2025-09-01,East,SMB,1283,3484,1977.57,6889849.77,6.95,5.86,83.27,9.39
2025-09-01,East,Enterprise,961,2214,4016.27,8892029.16,7.0,4.46,82.2,7.64
2025-09-01,West,Consumer,2081,5271,1727.04,9103208.75,5.78,4.82,80.1,10.15
2025-09-01,West,SMB,1887,4888,2585.33,12637097.45,7.35,5.63,76.14,12.18
2025-09-01,West,Enterprise,1650,4114,4695.2,19316041.91,6.22,3.67,82.36,8.97
2025-10-01,North,Consumer,823,2198,1251.72,2751283.84,7.98,4.51,81.49,6.06
2025-10-01,North,SMB,1896,4788,1966.85,9417292.72,7.72,3.01,82.13,8.76
2025-10-01,North,Enterprise,1447,3408,4025.08,13717462.7,6.79,5.77,83.34,8.23
2025-10-01,South,Consumer,1573,3682,1353.3343,4982976.8926,7.51,7.3870588235294115,83.88,9.26
2025-10-01,South,SMB,880,1869,2438.9874,4558467.4506,8.64,10.631176470588237,80.26,9.45
2025-10-01,South,Enterprise,2227,5345,4557.2152,24358315.244,6.64,9.645294117647058,78.0,9.27
2025-10-01,East,Consumer,1894,4437,1188.48,5273266.16,7.99,4.86,80.18,8.44
2025-10-01,East,SMB,1115,2257,2028.98,4579416.43,6.77,5.73,80.4,10.28
2025-10-01,East,Enterprise,1956,4815,3914.51,18848347.51,7.9,3.97,78.07,6.24
2025-10-01,West,Consumer,2033,4608,1359.83,6266110.05,7.53,4.03,87.94,5.52
2025-10-01,West,SMB,1288,2727,2343.51,6390741.26,7.31,2.17,82.59,12.81
2025-10-01,West,Enterprise,669,1529,4478.75,6848001.35,8.02,4.34,80.55,4.45
2025-11-01,North,Consumer,2227,5281,1314.93,6944169.39,7.3,3.92,80.68,10.21
2025-11-01,North,SMB,1582,3267,2444.53,7986277.91,6.08,3.84,86.81,11.25
2025-11-01,North,Enterprise,681,1474,4066.62,5994202.86,7.26,4.54,81.77,8.94
2025-11-01,South,Consumer,849,1992,1364.5572,2718197.9424,6.79,10.939411764705882,78.58,8.62
2025-11-01,South,SMB,1322,3209,2396.8797,7691586.9573,8.38,10.833529411764706,78.72,10.34
2025-11-01,South,Enterprise,1940,4280,4326.2582,18516385.096,7.45,10.12764705882353,84.23,7.45
2025-11-01,East,Consumer,1700,3801,1271.34,4832352.56,8.08,5.13,86.27,13.54
2025-11-01,East,SMB,2126,4554,2171.13,9887347.74,6.26,3.72,80.42,6.89
2025-11-01,East,Enterprise,1865,4408,3659.78,16132326.73,7.87,3.58,89.02,8.1
2025-11-01,West,Consumer,1365,3300,1355.75,4473977.99,8.56,5.62,82.74,6.31
2025-11-01,West,SMB,2206,4675,2626.9,12280735.42,7.85,4.6,75.91,7.03
2025-11-01,West,Enterprise,1500,3857,4730.93,18247193.25,8.09,2.91,82.75,11.03
2025-12-01,North,Consumer,876,2100,1423.0,2988305.8,6.96,2.65,81.19,8.35
2025-12-01,North,SMB,794,1876,2222.24,4168924.01,6.85,4.46,83.11,8.39
2025-12-01,North,Enterprise,1148,2781,3715.93,10333999.07,7.58,4.5,82.1,10.92
2025-12-01,South,Consumer,1320,2523,1316.8913999999997,3322517.0021999995,7.42,10.901764705882353,82.43,8.08
2025-12-01,South,SMB,1883,4958,2525.3659,12520764.132199999,6.99,9.095882352941176,83.92,11.44
2025-12-01,South,Enterprise,2285,5852,4244.8751999999995,24841009.670399997,7.74,12.36,85.9,7.25
2025-12-01,East,Consumer,2162,5592,1320.53,7384421.09,6.31,4.91,83.45,9.18
2025-12-01,East,SMB,2139,5251,2128.44,11176441.96,8.38,3.6,80.53,9.02
2025-12-01,East,Enterprise,1351,2736,3637.62,9952519.85,5.57,4.53,79.2,8.23
2025-12-01,West,Consumer,950,2437,1413.42,3444494.63,7.39,4.2,83.68,9.95
2025-12-01,West,SMB,2169,5114,2566.24,13123743.27,7.51,3.1,83.64,6.83
2025-12-01,West,Enterprise,1602,4410,4680.98,20643106.6,7.43,4.66,81.48,10.36
