customer_id,experiment_group,aov,orders,tenure_months,customer_type,region,discount_pct,converted
C000039,Control,1260.85,9,33,Consumer,North,12.0,0
C000040,Treatment,3548.07,7,49,Enterprise,South,0.0,0
C000041,Control,2011.18,10,26,Consumer,West,1.9,0
C000042,Treatment,1322.17,9,18,Consumer,North,1.3,1
C000043,Treatment,1601.96,9,45,Consumer,West,3.7,0
C000044,Control,1598.49,14,61,Consumer,North,7.5,0
C000045,Treatment,1556.62,2,22,Consumer,South,12.1,0
C000046,Treatment,497.22,2,10,Consumer,East,7.9,0
C000047,Control,1281.3,2,5,SMB,West,13.3,0
C000048,Control,1519.86,1,5,Consumer,North,19.1,0
C000049,Treatment,889.96,12,30,Consumer,North,10.1,0
C000050,Control,1834.59,10,41,Consumer,East,13.7,0
C000051,Control,2809.65,9,17,Consumer,South,12.7,0
C000052,Control,1327.63,3,10,Consumer,East,10.9,0
C000053,Treatment,1362.54,2,12,Consumer,West,3.2,0
C000054,Treatment,2922.18,3,7,SMB,North,9.0,0
C000055,Treatment,1547.33,7,13,Consumer,West,5.1,1
C000056,Treatment,2750.48,4,25,Consumer,North,10.9,1
C000057,Control,962.72,3,2,Consumer,West,10.7,0
C000058,Treatment,2727.81,1,9,Consumer,West,7.0,0
C000059,Control,1773.38,1,18,SMB,East,12.2,0
C000060,Control,1830.51,3,13,Consumer,West,7.5,0
C000061,Treatment,1729.31,7,27,Consumer,West,10.7,0
C000062,Control,4313.38,6,21,Enterprise,North,3.7,0
C000063,Treatment,3301.92,4,15,Consumer,North,2.0,0
C000064,Treatment,1259.53,4,9,Consumer,North,15.8,0
C000065,Treatment,1487.53,2,14,SMB,South,14.0,0
C000066,Treatment,705.63,9,28,Consumer,East,11.3,1
C000067,Treatment,1701.51,3,15,Consumer,South,5.2,1
C000068,Control,1474.75,8,23,Consumer,East,4.8,0
C000069,Control,3865.56,6,46,Consumer,South,3.1,1
C000070,Control,1654.73,4,10,Consumer,North,8.4,0
C000071,Control,853.58,5,10,SMB,South,10.9,0
C000072,Control,1095.91,8,14,Consumer,West,6.9,0
C000073,Treatment,2711.28,6,29,Enterprise,South,15.9,0
C000074,Control,1629.97,9,19,Consumer,South,0.0,0
C000075,Control,2016.82,8,26,Consumer,North,12.7,1
C000076,Control,1240.91,12,26,Consumer,West,8.5,0
C000077,Control,2157.28,1,13,Consumer,South,9.3,0
C000078,Treatment,2579.97,4,12,Consumer,East,0.0,0
C000079,Treatment,1097.4,5,18,Consumer,North,5.7,1
C000080,Treatment,5810.41,11,44,Consumer,North,3.6,0
C000081,Treatment,1995.9,8,19,Consumer,East,14.8,0
C000082,Control,1599.55,17,56,Consumer,East,6.2,1
C000083,Treatment,1647.91,16,69,Consumer,East,0.4,0
C000084,Control,2089.19,1,10,Consumer,South,10.4,0
C000085,Control,2262.98,2,7,Consumer,West,13.4,1
C000086,Control,1606.51,13,12,Consumer,South,12.0,0
C000087,Treatment,4460.83,2,18,Enterprise,West,8.8,0
C000088,Control,4017.83,5,16,SMB,North,12.4,1
C000089,Control,2949.46,7,17,Consumer,South,4.5,0
C000090,Treatment,3082.74,8,19,Consumer,South,10.3,0
C000091,Control,1263.93,2,12,Consumer,West,11.1,0
C000092,Treatment,1438.65,13,35,Consumer,East,9.0,0
C000093,Control,2658.44,11,31,Enterprise,South,7.2,0
C000094,Control,1167.56,4,9,Consumer,North,4.7,0
C000095,Control,1497.96,1,12,SMB,North,6.2,0
C000096,Treatment,1041.4,1,8,SMB,North,13.9,0
C000097,Control,4341.22,2,12,SMB,West,5.7,1
C000098,Control,1305.35,6,26,Consumer,South,7.3,0
C000099,Control,1335.02,9,18,Consumer,North,12.0,0
C000100,Treatment,2792.48,11,43,SMB,South,2.8,0
C000101,Treatment,2146.23,8,23,SMB,North,5.2,0
C000102,Treatment,1249.06,3,8,Consumer,West,0.7,0
C000103,Control,1706.43,8,12,Consumer,South,18.5,0
C000104,Treatment,1875.73,1,24,Consumer,West,7.5,0
C000105,Treatment,1732.15,1,20,Consumer,East,11.7,0
C000106,Treatment,1368.33,6,23,Consumer,South,18.8,0
C000107,Control,1143.35,2,6,Consumer,South,2.9,0
C000108,Control,3163.22,4,14,SMB,East,8.5,0
C000109,Control,1977.48,1,1,SMB,East,6.3,0
C000110,Treatment,1938.54,1,10,Consumer,North,7.5,0
C000111,Control,2067.06,5,22,SMB,West,9.2,0
C000112,Control,1224.86,2,9,Consumer,South,15.3,0
C000113,Control,2690.33,4,11,Consumer,South,11.6,0
C000114,Treatment,2721.51,5,8,SMB,South,16.4,1
C000115,Control,2622.02,8,18,Consumer,East,9.4,1
C000116,Treatment,2090.94,6,10,Enterprise,South,6.4,0
C000117,Treatment,1743.81,3,11,Consumer,South,14.0,0
C000118,Treatment,1840.84,7,21,Consumer,North,6.3,0
C000119,Control,1763.17,2,19,Consumer,South,9.4,0
C000120,Treatment,2500.24,2,17,Consumer,North,11.5,1
C000121,Treatment,814.41,10,20,Consumer,West,13.0,1
C000122,Treatment,686.51,12,37,Consumer,South,8.7,1
C000123,Control,3085.36,1,21,SMB,West,12.3,0
C000124,Control,1312.64,1,11,Consumer,East,6.0,0
C000125,Control,2352.55,12,23,Consumer,West,7.5,1
C000126,Control,1589.0,1,5,SMB,West,11.3,1
C000127,Control,933.88,1,9,Consumer,South,9.1,0
C000128,Control,1853.73,1,5,SMB,South,5.9,0
C000129,Control,1520.1,6,31,Consumer,North,12.9,0
C000130,Treatment,1335.31,8,18,Consumer,North,9.9,0
C000131,Control,3432.28,8,20,Consumer,South,2.3,0
C000132,Treatment,2127.25,1,5,SMB,East,10.9,0
C000133,Treatment,1832.08,9,41,SMB,West,11.3,0
C000134,Control,2135.16,9,35,SMB,South,8.8,0
C000135,Treatment,2208.0,6,13,Consumer,East,10.1,0
C000136,Control,1409.35,4,20,Consumer,South,14.3,0
C000137,Treatment,1852.25,5,13,Consumer,North,1.2,0
C000138,Control,2899.31,14,43,Consumer,North,12.9,0
C000139,Treatment,3564.18,4,15,Consumer,East,0.0,0
C000140,Control,1267.39,5,17,Consumer,South,5.7,1
C000141,Control,3870.33,10,35,SMB,South,0.9,0
C000142,Control,1356.53,1,7,Consumer,North,15.4,0
C000143,Treatment,2206.26,1,6,SMB,South,7.6,0
C000144,Treatment,1472.4,4,5,Consumer,West,8.9,0
C000145,Control,2196.58,10,35,Consumer,North,7.6,0
C000146,Control,2872.42,3,7,Consumer,East,8.3,0
C000147,Control,1498.84,3,17,Consumer,East,8.4,0
C000148,Treatment,4156.13,7,35,SMB,South,13.0,0
C000149,Control,1144.79,4,7,Consumer,North,10.2,0
C000150,Control,1873.53,5,33,Consumer,West,5.5,1
C000151,Treatment,714.33,7,11,Consumer,South,1.3,0
C000152,Treatment,739.19,8,10,SMB,South,14.4,1
C000153,Control,3744.85,1,13,Consumer,West,11.1,0
C000154,Treatment,3053.46,6,13,SMB,West,7.7,1
C000155,Control,882.64,5,7,Consumer,East,13.6,0
C000156,Treatment,2699.58,10,31,SMB,West,18.8,0
C000157,Control,2015.43,1,12,Consumer,North,9.2,0
C000158,Treatment,2355.64,8,39,Consumer,West,15.0,1
C000159,Treatment,515.13,1,1,Consumer,South,9.2,0
C000160,Treatment,1037.72,2,6,SMB,West,17.0,0
C000161,Control,2121.89,1,6,Enterprise,South,9.6,1
C000162,Treatment,1943.06,10,19,Enterprise,North,7.1,0
C000163,Control,1612.73,11,41,Consumer,South,15.1,1
C000164,Control,890.02,2,19,Consumer,West,9.6,1
C000165,Treatment,2713.62,6,32,Consumer,South,9.2,0
C000166,Control,1439.3,8,13,Consumer,West,12.9,0
C000167,Treatment,1061.51,3,9,Consumer,North,8.6,0
C000168,Treatment,1996.89,10,22,SMB,North,1.1,0
C000169,Control,3056.53,8,23,Enterprise,South,7.5,1
C000170,Treatment,10357.12,1,10,Consumer,South,6.3,0
C000171,Control,1150.62,3,21,Consumer,East,5.1,0
C000172,Treatment,2057.85,6,38,Consumer,West,13.7,1
C000173,Control,1009.37,7,23,Consumer,East,6.8,0
C000174,Treatment,806.86,8,4,Consumer,South,6.9,0
C000175,Control,3627.89,6,21,Consumer,South,8.7,0
C000176,Control,848.69,1,1,Consumer,West,10.5,1
C000177,Control,948.32,5,9,SMB,East,11.2,0
C000178,Treatment,1777.97,6,24,Consumer,West,9.7,1
C000179,Treatment,1420.49,3,11,SMB,South,9.7,0
C000180,Treatment,2278.4,5,17,SMB,East,3.8,0
C000181,Treatment,939.14,7,17,Consumer,North,11.2,0
C000182,Treatment,2371.99,2,9,Consumer,East,4.6,0
C000183,Treatment,1859.39,1,6,Enterprise,West,14.2,0
C000184,Control,1537.34,12,36,Consumer,West,7.8,0
C000185,Treatment,2610.09,1,22,Consumer,North,3.2,0
C000186,Treatment,2067.44,1,14,Consumer,West,10.0,0
C000187,Control,2566.98,2,4,Enterprise,North,12.5,0
C000188,Control,4163.1,12,41,Consumer,South,7.5,0
C000189,Treatment,1692.67,6,18,Consumer,East,11.9,0
C000190,Control,871.15,1,2,SMB,South,15.4,1
C000191,Treatment,1668.58,7,17,Consumer,South,10.5,0
C000192,Control,1846.7,3,20,SMB,East,3.2,0
C000193,Control,874.58,9,28,Consumer,East,8.9,0
C000194,Treatment,2497.89,3,15,SMB,East,6.8,0
C000195,Control,1232.45,8,52,Consumer,South,0.3,0
C000196,Control,1260.08,7,18,Consumer,East,2.8,0
C000197,Treatment,1516.16,17,56,Consumer,South,17.2,0
C000198,Treatment,2425.32,5,24,Consumer,North,7.3,0
C000199,Control,729.56,6,9,Consumer,South,8.1,0
C000200,Control,1930.26,3,39,Consumer,East,3.5,0
C000201,Treatment,2832.21,1,20,Consumer,South,18.0,0
C000202,Treatment,1201.65,6,39,Consumer,North,10.8,0
C000203,Treatment,1548.33,3,12,Consumer,West,7.5,0
C000204,Control,697.68,6,17,Consumer,West,12.6,0
C000205,Control,1366.03,4,31,SMB,East,14.8,0
C000206,Control,1121.23,5,33,Consumer,West,0.0,0
C000207,Control,4682.22,8,23,SMB,West,14.5,0
C000208,Treatment,1264.23,4,26,Consumer,South,5.0,0
C000209,Control,1381.38,12,32,Consumer,South,1.6,0
C000210,Treatment,1498.47,3,18,Consumer,East,18.2,1
C000211,Treatment,1151.59,9,20,Consumer,West,10.5,0
C000212,Treatment,4131.16,15,55,SMB,East,6.0,0
C000213,Control,1393.97,4,12,Consumer,North,17.4,0
C000214,Treatment,2098.91,3,5,Enterprise,West,6.9,0
C000215,Treatment,1806.4,6,20,SMB,West,4.4,1
C000216,Treatment,1069.68,9,20,Consumer,South,13.0,1
C000217,Control,3731.63,1,7,Enterprise,West,1.9,0
C000218,Control,1794.53,4,19,Consumer,East,9.2,0
C000219,Treatment,3866.19,3,5,SMB,West,2.5,0
C000220,Control,2056.21,7,11,Consumer,West,4.0,0
C000221,Control,1268.75,4,24,Consumer,North,11.6,0
C000222,Control,1010.26,1,6,Consumer,West,4.6,0
C000223,Treatment,4277.14,1,15,SMB,South,12.6,0
C000224,Treatment,1238.14,2,3,Consumer,West,0.0,1
C000225,Control,1361.53,1,12,Consumer,West,8.0,0
C000226,Treatment,2841.37,8,38,Enterprise,West,6.5,1
C000227,Control,2157.06,12,71,Consumer,West,7.9,0
C000228,Treatment,2864.68,4,16,Enterprise,West,7.0,1
C000229,Treatment,3076.56,12,24,Consumer,South,10.7,0
C000230,Control,5978.96,7,7,SMB,South,10.9,0
C000231,Control,1491.1,6,23,Consumer,North,7.2,0
C000232,Control,2222.78,9,43,SMB,West,6.6,0
C000233,Treatment,1952.21,3,19,SMB,East,10.8,1
C000234,Treatment,2192.4,10,35,Consumer,East,11.4,0
C000235,Treatment,1951.96,3,11,SMB,South,0.0,0
C000236,Treatment,1147.84,6,4,Enterprise,East,2.8,0
C000237,Control,1102.71,5,14,SMB,South,3.4,1
C000238,Treatment,4776.5,4,11,Enterprise,West,6.9,0
C000239,Control,1800.11,3,34,SMB,West,0.2,0
C000240,Control,1204.95,6,34,Consumer,South,11.0,0
C000241,Treatment,4911.65,8,7,SMB,West,4.5,0
C000242,Treatment,2860.89,2,25,SMB,North,12.1,0
C000243,Control,1391.09,7,30,Consumer,North,5.9,0
C000244,Treatment,810.98,3,13,Consumer,East,12.9,1
C000245,Treatment,2611.08,6,20,Consumer,East,7.3,0
C000246,Treatment,1301.74,8,28,SMB,North,8.0,0
C000247,Treatment,1437.94,7,36,SMB,South,11.9,1
C000248,Control,2601.09,8,20,SMB,South,6.7,0
C000249,Control,991.34,4,24,Consumer,North,1.4,0
C000250,Control,1132.39,9,30,Consumer,South,1.5,0
C000251,Treatment,1772.2,1,7,Consumer,South,13.3,1
C000252,Treatment,2002.11,1,2,SMB,West,3.1,0
C000253,Control,1189.79,2,27,SMB,South,7.0,0
C000254,Control,2576.02,6,21,SMB,North,15.2,0
C000255,Control,638.37,3,6,Consumer,North,6.2,1
C000256,Treatment,2525.26,6,28,SMB,North,5.4,0
C000257,Treatment,1031.66,3,6,SMB,West,9.9,0
C000258,Control,3259.06,2,19,Enterprise,South,14.9,0
C000259,Control,2144.78,10,27,SMB,North,16.4,1
C000260,Treatment,1385.46,11,34,Consumer,West,5.4,0
C000261,Control,1315.08,1,14,SMB,West,11.4,0
C000262,Treatment,1857.31,4,33,Consumer,North,8.3,0
C000263,Control,1601.12,3,16,SMB,South,8.5,0
C000264,Control,1214.55,4,9,SMB,West,10.9,0
C000265,Treatment,1583.73,4,11,SMB,East,10.4,0
C000266,Control,1871.86,1,13,Consumer,West,4.2,0
C000267,Control,933.78,1,1,SMB,North,4.2,0
C000268,Control,1173.89,8,30,Consumer,West,16.2,0
C000269,Control,3490.44,5,23,SMB,North,6.4,0
C000270,Control,2073.85,4,11,Enterprise,South,11.5,0
C000271,Control,4076.04,9,25,Consumer,West,15.6,1
C000272,Control,1992.1,1,6,Consumer,East,8.1,0
C000273,Control,1619.25,9,25,SMB,North,15.2,0
C000274,Treatment,1704.68,7,29,SMB,South,5.9,0
C000275,Treatment,1712.29,2,5,Consumer,West,13.6,0
C000276,Control,7199.28,4,31,Enterprise,North,9.4,0
C000277,Control,1796.21,7,16,Enterprise,South,7.8,0
C000278,Treatment,3972.12,10,16,SMB,North,12.5,0
C000279,Treatment,2115.78,1,5,Consumer,North,7.9,0
C000280,Treatment,1198.66,6,35,Consumer,West,5.8,0
C000281,Control,3383.94,13,35,Consumer,North,1.4,0
C000282,Control,2696.49,13,46,SMB,South,11.6,0
C000283,Control,2028.43,7,37,Consumer,East,12.0,1
C000284,Control,1458.4,11,20,Consumer,North,17.0,0
C000285,Treatment,719.5,5,22,Consumer,East,10.9,1
C000286,Control,1283.2,2,2,SMB,South,5.3,0
C000287,Control,1499.97,3,2,Consumer,West,9.5,0
C000288,Control,3061.82,7,17,SMB,West,8.3,0
C000289,Treatment,1190.02,6,16,Consumer,West,14.1,0
C000290,Control,1123.64,9,9,Consumer,South,14.3,1
C000291,Treatment,2466.96,9,17,Consumer,West,19.8,0
C000292,Control,3043.95,8,10,Consumer,East,8.2,0
C000293,Treatment,2728.17,7,35,Consumer,South,14.3,0
C000294,Control,1822.38,6,19,SMB,North,15.7,0
C000295,Treatment,1914.22,9,11,Consumer,North,12.4,0
C000296,Treatment,4214.4,7,35,Enterprise,South,6.8,0
C000297,Treatment,1978.72,2,6,Consumer,South,7.2,0
C000298,Treatment,3211.13,16,59,Consumer,West,12.6,0
C000299,Treatment,1948.6,7,21,Consumer,West,11.6,0
C000300,Treatment,3620.6,5,16,Consumer,North,3.4,0
C000301,Treatment,1507.87,3,4,Consumer,West,4.1,0
C000302,Control,1347.58,1,18,SMB,East,11.3,0
C000303,Treatment,3440.75,3,15,SMB,South,0.0,0
C000304,Treatment,1701.05,4,27,Consumer,West,9.8,0
C000305,Treatment,2371.57,10,16,SMB,East,6.2,0
C000306,Control,1750.97,2,6,Consumer,East,4.9,0
C000307,Control,3246.73,5,14,SMB,South,6.6,0
C000308,Treatment,763.01,7,10,Consumer,South,9.8,0
C000309,Control,1586.01,7,6,Consumer,West,8.8,1
C000310,Control,2042.51,10,39,SMB,South,3.2,0
C000311,Control,1299.22,1,3,Consumer,North,0.9,0
C000312,Control,734.9,7,36,Consumer,South,9.7,0
C000313,Control,2964.71,6,18,SMB,South,11.0,0
C000314,Control,3302.38,8,29,SMB,South,12.2,1
C000315,Control,4830.2,7,41,Enterprise,West,1.4,1
C000316,Control,2178.47,1,11,SMB,South,10.1,0
C000317,Control,943.22,1,19,Consumer,West,11.5,0
C000318,Treatment,679.54,1,12,Consumer,East,6.5,1
C000319,Control,3174.29,4,15,SMB,South,7.1,0
C000320,Treatment,2460.37,6,27,Consumer,North,6.7,0
C000321,Treatment,1726.98,1,17,Consumer,South,6.2,0
C000322,Control,1811.0,5,19,SMB,West,14.5,0
C000323,Control,2642.73,8,8,SMB,West,6.1,0
C000324,Treatment,1008.82,6,16,Consumer,South,5.3,0
C000325,Treatment,1674.09,10,13,SMB,West,0.0,1
C000326,Treatment,2650.46,5,18,Consumer,West,11.7,0
C000327,Treatment,767.74,3,8,Consumer,North,5.0,0
C000328,Treatment,2561.63,5,11,SMB,East,5.0,0
C000329,Treatment,1004.85,11,21,Consumer,West,15.7,1
C000330,Control,1250.2,11,26,Consumer,West,3.3,0
C000331,Treatment,1539.63,8,20,Consumer,North,2.0,0
C000332,Control,1800.17,6,14,Consumer,South,2.0,0
C000333,Treatment,2218.16,1,11,SMB,South,2.0,1
C000334,Treatment,3094.18,1,3,Enterprise,South,5.4,0
C000335,Control,3236.04,8,39,SMB,North,8.2,0
C000336,Treatment,1552.04,13,34,SMB,East,7.2,0
C000337,Control,3009.22,15,43,Enterprise,South,12.5,0
C000338,Treatment,2316.43,5,42,SMB,North,10.6,0
C000339,Control,2886.65,10,22,SMB,East,9.6,0
C000340,Treatment,2025.55,20,67,Consumer,North,10.2,0
C000341,Control,1203.7,8,16,SMB,South,11.3,0
C000342,Treatment,1258.01,4,19,Consumer,West,8.0,0
C000343,Treatment,2101.9,6,11,Consumer,West,15.9,0
C000344,Treatment,1763.91,1,6,Consumer,South,5.7,0
C000345,Treatment,1751.82,1,12,Consumer,West,6.0,0
C000346,Treatment,904.69,11,12,Consumer,West,4.7,0
C000347,Treatment,2919.34,6,29,Consumer,East,4.9,1
C000348,Control,1864.89,2,20,Consumer,West,3.2,0
C000349,Treatment,2887.46,5,24,SMB,South,3.4,1
C000350,Control,2330.37,12,22,Enterprise,North,7.8,1
C000351,Treatment,3910.22,9,22,SMB,West,7.7,0
C000352,Control,816.35,2,11,Consumer,South,6.4,0
C000353,Treatment,920.5,6,22,Consumer,South,4.9,0
C000354,Treatment,1334.64,9,30,Consumer,North,14.5,1
C000355,Control,1516.79,11,38,Consumer,North,15.5,0
C000356,Treatment,1807.9,10,34,Consumer,North,11.8,0
C000357,Treatment,1990.35,4,27,Consumer,North,10.0,1
C000358,Treatment,2299.69,5,20,Consumer,West,15.5,0
C000359,Control,2654.8,1,13,Enterprise,South,10.1,0
C000360,Treatment,1321.97,9,22,Consumer,West,2.5,0
C000361,Treatment,1833.02,10,44,Consumer,North,4.3,0
C000362,Control,2147.83,6,15,Consumer,South,9.1,0
C000363,Control,1496.98,10,51,Consumer,West,11.7,0
C000364,Control,2542.05,8,23,Enterprise,North,14.7,1
C000365,Treatment,5500.37,11,39,Consumer,South,14.6,0
C000366,Control,1681.46,1,12,Consumer,West,12.9,1
C000367,Treatment,1871.09,6,11,Consumer,North,13.4,0
C000368,Treatment,2124.21,1,6,Consumer,North,7.3,0
C000369,Control,1723.04,8,44,Consumer,West,7.1,0
C000370,Treatment,2343.12,9,23,SMB,South,6.8,0
C000371,Treatment,1359.63,6,30,SMB,East,9.2,0
C000372,Control,762.59,6,19,Consumer,North,12.4,0
C000373,Control,2257.37,5,20,Enterprise,South,23.3,0
C000374,Control,1702.46,1,5,SMB,South,7.1,0
C000375,Control,1806.02,10,23,SMB,East,6.1,0
C000376,Control,2755.19,12,32,Consumer,South,11.9,1
C000377,Treatment,1010.73,4,3,SMB,West,7.0,0
C000378,Control,680.06,3,13,Consumer,West,14.8,0
C000379,Control,697.2,4,10,Consumer,South,15.5,0
C000380,Treatment,1492.66,11,27,Consumer,South,17.5,0
C000381,Treatment,2998.93,5,26,Consumer,East,11.1,0
C000382,Treatment,2607.79,6,30,Consumer,East,16.2,1
C000383,Treatment,2088.91,1,1,Consumer,North,3.3,1
C000384,Control,1916.29,1,19,Enterprise,West,15.0,0
C000385,Control,827.45,4,4,Consumer,South,12.7,0
C000386,Treatment,1886.83,7,22,Consumer,West,10.2,1
C000387,Treatment,2730.44,5,6,Consumer,West,8.2,0
C000388,Treatment,2162.33,5,25,SMB,North,0.0,0
C000389,Control,978.04,1,6,Consumer,South,12.3,1
C000390,Treatment,1664.53,4,8,SMB,South,6.6,0
C000391,Treatment,1711.14,6,37,Consumer,South,7.6,1
C000392,Control,2959.72,7,17,Consumer,West,10.1,0
C000393,Treatment,1494.68,7,17,Consumer,North,10.6,0
C000394,Treatment,2136.77,10,8,Consumer,East,5.6,1
C000395,Control,2220.43,13,34,Consumer,West,5.3,0
C000396,Control,1949.25,7,23,Consumer,West,4.8,0
C000397,Treatment,2723.87,5,22,Consumer,North,9.5,1
C000398,Control,2135.75,6,7,Consumer,West,14.4,0
C000399,Control,2339.07,6,19,Enterprise,North,9.9,1
C000400,Control,2032.77,15,72,SMB,South,10.5,0
C000401,Control,1356.35,1,11,Consumer,South,8.1,0
C000402,Treatment,1444.91,16,36,Consumer,East,6.9,0
C000403,Treatment,2398.84,5,2,Consumer,North,6.1,1
C000404,Control,2149.53,9,29,Consumer,South,7.3,0
C000405,Treatment,917.45,7,24,Consumer,South,2.6,0
C000406,Treatment,1782.57,11,16,Enterprise,West,15.0,0
C000407,Control,1150.33,9,23,Consumer,East,10.2,0
C000408,Treatment,2840.04,2,23,SMB,East,10.0,0
C000409,Control,1144.77,5,23,Consumer,East,10.8,1
C000410,Treatment,2567.5,7,14,Consumer,South,7.2,0
C000411,Treatment,912.1,8,12,Consumer,North,10.5,0
C000412,Treatment,650.07,3,10,Consumer,North,6.1,0
C000413,Control,2021.35,7,5,SMB,South,6.7,1
C000414,Treatment,925.15,1,17,SMB,West,8.9,0
C000415,Control,1649.25,7,33,Consumer,South,9.3,0
C000416,Control,1357.81,3,12,Consumer,East,15.7,0
C000417,Control,2012.78,6,7,Consumer,West,4.9,0
C000418,Treatment,1948.95,8,10,Consumer,West,4.7,0
C000419,Control,1316.88,9,19,SMB,South,7.0,0
C000420,Treatment,959.46,1,19,Consumer,West,13.7,0
C000421,Treatment,768.27,4,9,Consumer,East,10.3,0
C000422,Control,1576.93,1,17,SMB,South,19.2,0
C000423,Control,2423.46,5,15,Consumer,West,8.7,0
C000424,Control,5832.25,12,25,Consumer,South,10.7,0
C000425,Treatment,2069.97,16,42,Consumer,West,9.4,0
C000426,Treatment,1691.29,5,12,SMB,East,10.3,0
C000427,Control,2001.58,4,10,Enterprise,West,5.6,0
C000428,Treatment,1915.57,5,19,Enterprise,West,9.4,0
C000429,Control,633.48,6,21,Consumer,East,3.9,0
C000430,Treatment,3889.86,11,26,SMB,North,10.6,0
C000431,Treatment,1753.15,1,4,Consumer,South,11.0,0
C000432,Treatment,1840.86,12,57,Consumer,West,8.1,0
C000433,Treatment,1693.12,4,14,Consumer,East,6.0,0
C000434,Treatment,1659.03,2,11,Consumer,West,5.6,0
C000435,Control,2247.54,4,7,Consumer,South,4.8,0
C000436,Control,3021.94,9,12,Enterprise,South,5.7,0
C000437,Control,1118.02,4,5,Consumer,West,20.2,0
C000438,Treatment,3128.37,7,36,Enterprise,West,10.3,0
C000439,Treatment,1181.09,2,15,Consumer,South,7.9,0
C000440,Treatment,969.49,1,10,Consumer,North,5.7,0
C000441,Treatment,4162.34,8,32,Enterprise,West,8.3,0
C000442,Control,3054.45,2,15,Consumer,West,11.6,0
C000443,Treatment,1050.37,4,10,Consumer,South,11.4,0
C000444,Control,1029.38,9,47,Consumer,South,13.3,0
C000445,Control,1047.71,1,12,SMB,South,13.6,0
C000446,Treatment,1139.81,1,3,Consumer,South,8.9,0
C000447,Treatment,2013.35,7,17,Enterprise,North,5.8,0
C000448,Treatment,2407.96,1,16,Consumer,South,7.9,0
C000449,Control,2128.72,5,11,Consumer,West,12.5,0
C000450,Treatment,4253.05,1,9,SMB,South,6.1,0
C000451,Control,2437.09,6,18,Consumer,West,18.5,1
C000452,Treatment,2075.23,4,13,Consumer,South,5.9,0
C000453,Treatment,959.63,5,14,Consumer,North,11.3,0
C000454,Control,1835.0,9,21,Consumer,South,10.3,0
C000455,Control,1062.76,2,14,Consumer,North,12.6,0
C000456,Control,520.49,8,11,Consumer,East,0.0,0
C000457,Treatment,1573.21,9,26,Consumer,West,13.3,0
C000458,Control,1094.37,3,13,Consumer,West,7.4,0
C000459,Treatment,1145.35,3,11,SMB,West,5.2,0
C000460,Treatment,1402.56,3,6,SMB,West,13.4,0
C000461,Treatment,3175.43,2,9,Consumer,West,0.8,0
C000462,Control,2100.17,1,7,Consumer,South,17.6,0
C000463,Treatment,2740.96,1,5,Consumer,East,9.9,1
C000464,Control,2058.71,1,9,SMB,South,8.3,0
C000465,Treatment,830.51,5,21,Consumer,North,3.3,1
C000466,Treatment,899.69,1,17,SMB,East,7.8,1
C000467,Treatment,772.15,7,13,Consumer,East,14.3,0
C000468,Treatment,4574.47,6,23,Consumer,South,10.2,1
