customer_id,tenure_months,orders_last_90_days,total_spend_last_90_days,avg_order_value,support_tickets_last_90_days,days_since_last_order
C00061,12.03,5,10496.3,1731.84,2,64.26
C00062,21.33,10,23416.66,1692.31,6,11.28
C00063,22.5,4,14813.81,2630.73,3,23.88
C00064,16.66,3,10909.63,1705.34,2,42.95
C00065,18.86,4,3582.35,1510.26,5,49.52
C00066,9.74,7,15721.25,2370.04,4,16.98
C00067,15.65,9,15325.41,1698.61,2,13.56
C00068,11.02,9,22283.72,1544.52,3,16.46
C00069,30.39,18,38917.61,2331.92,2,12.12
C00070,4.71,10,24353.3,2046.44,4,13.08
C00071,17.28,4,8450.46,2429.97,2,14.81
C00072,9.68,5,18217.73,1844.65,4,21.17
C00073,8.28,2,5051.1,1179.72,2,65.39
C00074,25.59,5,17594.4,2575.34,4,19.37
C00075,26.48,16,54593.97,2786.43,2,8.31
C00076,13.93,11,32114.1,1478.05,3,12.68
C00077,21.46,9,22428.35,2511.43,3,25.92
C00078,1.0,5,8437.66,2231.14,4,42.54
C00079,18.88,9,20273.81,2479.58,0,24.82
C00080,15.06,3,3822.21,2001.22,1,64.73
C00081,4.56,3,7202.08,2267.82,6,44.59
C00082,14.96,13,21413.34,1965.03,3,7.03
C00083,8.55,0,3977.34,1538.59,6,25.2
C00084,27.28,25,62722.51,2586.7,2,8.01
C00085,29.97,15,51196.12,2180.88,2,9.8
C00086,26.41,12,60896.79,3064.04,1,6.88
C00087,4.5,1,6155.47,2291.37,5,64.6
C00088,14.77,10,18363.72,2405.57,2,6.99
C00089,18.33,16,40758.46,3084.6,2,17.5
C00090,7.57,10,13924.21,1927.31,3,1.72
C00091,29.66,26,47919.06,3016.91,3,7.34
C00092,10.93,0,9102.48,1754.73,4,56.9
C00093,14.5,7,21728.31,1631.57,5,8.22
C00094,14.02,15,24073.1,2134.16,2,14.3
C00095,18.44,9,18591.08,2089.21,3,7.91
C00096,11.38,4,4079.16,1724.18,4,56.67
C00097,15.67,13,21279.62,1640.87,4,12.58
C00098,23.96,19,47574.27,3301.79,1,5.52
C00099,23.41,16,61892.72,3182.96,4,17.07
C00100,2.88,2,1470.94,1266.72,1,25.97
C00101,2.79,2,1418.27,1752.64,1,95.57
C00102,11.84,3,4261.65,2482.44,8,59.45
C00103,9.92,10,13953.56,2611.82,4,18.67
C00104,1.0,1,3894.09,1863.87,4,16.34
C00105,17.11,5,3354.16,1796.84,7,50.49
C00106,2.03,3,6681.74,1740.77,5,48.35
C00107,17.76,10,17630.08,1956.62,3,4.55
C00108,20.86,9,19178.62,2436.26,0,4.18
C00109,29.92,18,53531.59,2692.04,3,11.73
C00110,8.94,2,260.0,1730.77,4,56.6
C00111,12.72,11,22872.38,2645.59,2,16.41
C00112,22.48,9,13972.03,2245.12,4,18.62
C00113,19.32,8,25652.26,1784.76,2,18.08
C00114,23.27,5,13103.66,1386.8,3,10.17
C00115,25.31,21,46226.12,3004.08,2,10.69
C00116,8.9,1,2780.75,1813.12,3,19.85
C00117,19.59,1,11031.28,2209.64,7,57.36
C00118,13.54,4,6573.05,1894.23,8,46.57
C00119,14.3,5,14209.87,1460.06,4,30.66
C00120,24.98,1,9312.14,2368.84,5,56.52
C00121,5.95,10,14213.98,2169.87,1,21.8
C00122,22.17,2,4657.69,937.59,5,46.28
C00123,17.14,20,47950.27,2415.92,1,12.29
C00124,21.62,9,21785.97,1693.68,3,19.03
C00125,24.71,20,44976.1,3129.42,3,1.0
C00126,25.14,0,16227.78,2458.87,3,7.74
C00127,11.44,12,10353.23,2495.15,3,9.65
C00128,23.92,14,59796.03,3229.59,0,6.39
C00129,21.96,23,39849.11,3621.9,2,3.35
C00130,13.94,7,13264.22,2133.19,1,2.74
C00131,25.34,11,45230.55,2490.9,1,16.0
C00132,7.23,2,690.68,1303.81,2,26.56
C00133,23.45,5,17711.35,1894.88,3,13.52
C00134,16.37,8,15695.26,2269.78,3,17.38
C00135,15.42,11,17938.75,1992.66,3,29.88
C00136,18.62,21,34961.46,2997.77,4,9.95
C00137,7.68,1,3040.36,1424.38,1,39.78
C00138,19.19,7,15371.73,1623.91,4,21.82
C00139,16.62,4,7719.67,1956.8,7,53.63
C00140,24.28,27,47932.44,2600.36,2,9.01
C00141,9.57,12,18576.12,1711.17,5,22.38
C00142,10.41,14,21964.59,2096.43,5,19.12
C00143,6.89,1,3756.41,1642.98,2,30.78
C00144,18.78,9,12999.37,1584.87,4,1.0
C00145,19.23,8,24887.11,1927.29,4,15.22
C00146,18.68,11,16918.5,2448.79,2,20.06
C00147,23.54,11,27624.0,1832.8,1,11.04
C00148,21.96,10,19460.15,1706.97,4,9.43
C00149,24.95,18,20649.03,2304.09,2,5.33
C00150,23.78,14,38976.96,3675.06,2,9.52
C00151,5.76,2,4253.92,1490.3,3,41.47
C00152,5.63,1,428.93,1421.53,2,21.85
C00153,27.76,18,32595.93,2488.19,2,9.55
C00154,11.08,9,23600.83,2371.98,3,14.72
C00155,23.59,20,53755.94,3183.23,2,11.28
C00156,15.66,4,9677.06,1478.19,2,78.15
C00157,19.54,4,15787.81,2370.16,3,14.42
C00158,24.81,1,5504.62,1884.55,7,62.45
C00159,21.38,3,8723.46,1696.32,6,56.61
C00160,16.51,4,8887.86,1817.69,4,56.02
C00161,27.8,19,71858.73,2664.3,2,12.27
C00162,7.39,4,2508.55,1597.23,1,38.67
C00163,19.49,12,20435.93,2540.69,3,15.67
C00164,46.93,20,45524.67,2587.58,1,11.75
C00165,15.81,9,18714.21,2356.02,2,10.47
C00166,19.35,11,20496.4,1816.69,4,12.79
C00167,4.91,1,4691.51,1690.03,3,67.45
C00168,18.25,0,2040.11,1315.15,1,25.6
C00169,16.2,5,20507.69,2118.09,4,21.55
C00170,9.41,2,5757.49,1570.33,0,26.96
C00171,7.56,9,18451.88,1936.05,6,21.84
C00172,22.36,6,14503.85,2112.88,3,5.01
C00173,16.92,9,18031.83,1815.31,2,16.76
C00174,7.36,3,4405.11,1411.7,1,52.88
C00175,32.28,16,59113.54,3340.81,3,15.11
C00176,21.94,18,52101.5,2855.87,1,2.06
C00177,18.56,7,19386.97,1822.08,1,19.64
C00178,7.6,3,5841.62,1583.19,3,25.6
C00179,1.85,4,1799.48,1186.82,2,43.38
C00180,8.68,3,10573.44,1477.6,3,69.14
C00181,8.97,1,943.18,1276.61,2,65.98
C00182,2.85,2,3877.69,785.62,4,23.72
C00183,19.99,10,23880.64,2292.82,0,12.51
C00184,18.83,8,21149.25,2376.28,4,16.5
C00185,2.08,2,8540.92,1363.82,7,68.63
C00186,15.89,0,4304.78,2554.48,5,25.24
C00187,25.41,9,23972.23,2196.94,4,20.54
C00188,32.88,27,60739.06,2188.85,2,12.57
C00189,23.42,2,10412.36,2171.1,11,43.75
C00190,14.96,8,16794.0,1788.49,0,14.96
C00191,8.48,2,5516.0,1504.01,4,49.71
C00192,22.96,10,25159.53,2119.58,4,20.56
C00193,25.98,20,72109.48,2778.32,2,13.03
C00194,11.56,2,100.0,1655.01,0,71.46
C00195,29.19,22,43881.0,2201.37,2,7.87
C00196,24.56,18,76906.92,3275.54,3,11.38
C00197,26.88,8,9753.57,2033.99,4,11.21
C00198,6.29,1,4952.64,1724.84,3,56.19
C00199,17.78,10,13666.67,1334.75,3,20.27
C00200,25.26,14,26064.99,1750.69,2,21.36
C00201,32.72,5,10298.49,1644.88,4,66.83
C00202,2.6,2,2850.79,1977.87,1,1.09
C00203,21.03,7,19191.84,2069.65,3,23.53
C00204,17.27,16,58156.34,2623.66,0,10.67
C00205,35.86,18,34352.39,3217.69,0,9.24
C00206,12.68,6,17011.4,2035.85,2,22.12
C00207,24.88,22,54530.56,2586.1,1,1.41
C00208,17.04,2,1569.51,1585.71,4,78.64
C00209,16.08,12,61989.73,3510.54,1,5.47
C00210,21.7,2,10624.63,2001.74,5,14.95
C00211,15.71,5,12767.21,1569.26,6,82.33
C00212,8.87,12,14417.58,2135.87,3,11.29
C00213,12.1,10,23479.93,2054.59,3,22.0
C00214,3.11,3,4065.15,2281.09,1,36.75
C00215,20.38,4,6162.28,1638.73,7,42.59
C00216,12.13,3,9989.85,1558.16,2,26.25
C00217,19.18,13,50608.5,2365.0,1,4.9
C00218,24.92,23,57957.53,2907.26,2,6.27
C00219,8.31,3,1820.1,1510.94,0,48.81
C00220,22.57,8,27174.37,1791.57,3,17.75
C00221,17.4,9,19481.97,2396.79,5,17.98
C00222,22.89,7,22446.8,1833.3,5,33.47
C00223,14.15,0,6129.82,2292.75,7,58.73
C00224,11.03,2,4583.04,1775.83,4,51.46
C00225,23.43,8,16293.43,2697.37,3,23.63
C00226,7.49,1,3014.28,1930.8,3,14.19
C00227,26.49,25,50075.83,2089.78,4,10.73
C00228,17.58,8,23870.58,1910.31,5,21.8
C00229,16.71,3,7062.58,2218.26,4,30.67
C00230,32.3,21,56322.17,3083.48,2,11.15
C00231,27.68,16,49192.98,3809.29,0,10.0
C00232,7.93,9,17048.68,1370.24,4,15.34
C00233,1.0,3,4865.51,1947.04,3,45.83
C00234,25.97,14,24101.06,1770.46,3,21.08
C00235,1.0,2,5954.89,1691.98,4,48.29
C00236,6.71,2,1939.43,1210.87,4,69.7
C00237,12.05,12,18608.68,2218.93,4,24.96
C00238,15.58,5,8273.53,2049.67,4,87.38
C00239,31.29,21,37526.33,2529.78,3,9.15
C00240,14.6,22,47105.95,3535.09,2,8.82
C00241,11.72,1,1709.3,1441.05,3,21.04
C00242,3.32,4,5992.55,1643.11,2,44.82
C00243,17.95,12,15529.46,2680.08,2,13.22
C00244,27.22,10,16515.89,2045.7,5,28.26
C00245,9.28,3,7725.39,1405.5,6,55.08
C00246,11.56,3,2572.03,1435.81,3,34.47
C00247,19.12,3,5076.5,1417.27,9,52.65
C00248,27.84,7,20310.42,2937.44,1,4.72
C00249,25.72,7,18906.82,1894.93,3,11.35
C00250,16.92,10,14462.61,1854.97,2,8.0
C00251,12.04,3,6501.13,1691.45,6,45.16
C00252,9.76,3,2396.31,1645.56,2,51.58
C00253,27.39,11,11019.63,2258.9,5,16.45
C00254,23.97,7,12315.07,2149.41,0,16.32
C00255,25.72,3,13242.26,1738.79,3,15.44
C00256,24.79,4,8738.18,1858.25,7,42.07
C00257,10.43,1,4085.99,1855.84,2,41.83
C00258,30.8,7,54720.32,2848.99,2,10.83
C00259,27.48,13,50727.38,2930.4,2,8.65
C00260,24.24,6,19790.65,2551.48,0,19.26
C00261,23.9,17,43856.73,2823.7,4,2.94
C00262,2.32,1,5245.64,1361.3,2,37.75
C00263,12.33,8,30062.1,2587.22,2,22.53
C00264,22.18,11,61175.6,3422.04,3,6.12
C00265,6.33,3,3508.94,1381.91,0,47.05
C00266,35.55,13,57748.83,3049.19,3,11.49
C00267,13.83,4,16599.16,2411.19,2,13.14
C00268,15.25,25,59431.42,3246.45,3,10.31
C00269,26.29,17,48151.92,4085.63,3,6.14
C00270,31.26,14,65540.56,2602.52,3,12.26
C00271,30.69,18,52097.22,2874.6,1,6.2
C00272,38.36,18,44927.83,2667.67,3,10.7
C00273,31.92,17,57160.26,2610.4,2,11.88
C00274,23.25,6,15150.13,2138.05,6,4.59
C00275,16.95,1,5914.17,1654.23,5,46.99
C00276,18.04,7,12418.94,2372.95,4,23.9
C00277,8.76,10,22041.9,1739.08,3,17.19
C00278,29.05,15,11510.4,2972.87,2,24.86
C00279,10.88,1,3641.25,1467.74,3,49.15
C00280,11.79,2,2781.76,1828.82,3,58.17
C00281,23.35,14,46890.5,2620.63,3,11.9
C00282,17.07,13,25158.11,2185.19,2,29.03
C00283,17.63,9,17471.78,1788.57,1,22.43
C00284,13.3,18,14112.67,1659.92,4,28.71
C00285,18.39,11,10704.04,1862.87,1,4.73
C00286,18.7,2,13050.12,1911.98,2,20.77
C00287,30.14,22,58771.45,3413.37,2,9.21
C00288,21.07,9,17212.63,1983.65,2,20.95
C00289,17.44,7,16019.9,1676.36,4,18.55
C00290,21.96,21,46955.96,2267.07,3,5.85
C00291,5.36,2,4485.37,1506.01,0,54.79
C00292,24.61,26,51989.92,1894.23,2,15.78
C00293,13.3,4,1674.31,1773.65,1,49.04
C00294,19.09,15,45913.78,3304.35,3,9.11
C00295,1.6,2,2030.05,1760.9,4,64.01
C00296,3.98,0,702.95,1926.49,1,31.49
C00297,13.57,3,3031.78,1411.98,2,49.09
C00298,13.4,2,3943.84,1850.78,0,58.59
C00299,12.94,0,2179.58,1392.75,7,56.71
C00300,16.29,6,4327.28,1789.03,7,43.96
C00301,15.2,1,11024.77,1527.35,10,54.51
C00302,35.2,18,51723.31,2637.19,2,9.27
C00303,13.29,9,16254.56,2904.88,3,28.82
C00304,16.83,10,13053.86,1943.52,3,29.1
C00305,7.89,3,3832.95,1988.22,2,88.02
C00306,15.09,7,13554.76,2915.86,4,15.66
C00307,25.49,11,27847.57,1558.26,3,14.76
C00308,1.18,5,6824.01,2095.85,11,49.7
C00309,15.47,9,23442.61,1901.65,2,25.4
C00310,30.65,10,40971.47,3575.56,2,4.95
C00311,16.98,9,22310.8,1624.61,2,19.91
C00312,17.4,11,13467.22,2225.0,5,21.41
C00313,18.83,9,15243.17,2074.8,5,17.17
C00314,12.66,8,19903.83,1969.27,4,21.66
C00315,23.33,13,23481.36,1773.02,2,17.47
C00316,15.29,6,17012.39,1933.92,2,15.79
C00317,25.07,10,30123.14,2159.68,3,18.03
C00318,16.8,4,12691.78,1461.87,8,58.12
C00319,8.57,11,24704.31,1799.99,3,5.92
C00320,1.96,3,2393.66,1167.36,2,35.6
C00321,5.12,3,1489.75,1228.39,2,62.45
C00322,25.43,7,23218.2,1825.55,6,10.06
C00323,25.97,7,28059.61,2306.96,1,14.34
C00324,22.69,12,18681.78,2115.63,4,18.92
C00325,1.83,1,3305.66,1864.64,4,59.03
C00326,17.01,4,5833.12,1738.71,4,36.27
C00327,8.33,2,3893.95,1663.83,2,55.02
C00328,17.74,10,15732.35,2229.4,4,13.31
C00329,15.36,2,6183.73,1350.03,9,70.99
C00330,21.22,15,18148.39,3161.12,3,19.79
C00331,12.22,4,9589.04,1754.43,10,58.59
C00332,19.62,6,20883.25,2053.09,2,12.56
C00333,33.7,3,3857.54,1520.71,6,63.2
C00334,9.22,3,2161.68,1602.13,1,33.85
C00335,21.58,13,61577.89,3209.88,3,8.16
C00336,20.44,0,9657.72,1870.85,7,60.7
C00337,21.09,12,45591.51,3154.21,3,2.53
C00338,8.13,2,6606.74,1255.18,3,42.67
C00339,28.6,13,50957.77,3376.35,1,7.17
C00340,11.1,2,2254.23,1849.05,2,64.88
C00341,31.0,17,56317.21,3044.2,3,5.81
C00342,7.16,2,3915.39,1192.45,4,53.39
C00343,1.73,3,5904.32,1800.55,4,46.54
C00344,8.03,3,20147.87,1892.81,2,17.56
C00345,19.31,1,6377.81,2403.95,4,68.05
C00346,11.61,4,10243.32,2096.51,8,37.73
C00347,11.45,1,3337.4,1577.47,3,51.07
C00348,12.94,5,22925.57,2165.04,5,17.69
C00349,9.57,12,17333.33,2219.7,2,29.51
C00350,21.86,17,52967.04,2408.52,2,14.45
C00351,11.57,4,626.41,1784.43,5,42.72
C00352,35.57,17,50402.7,2730.26,0,3.47
C00353,23.77,3,15551.58,1960.1,6,23.38
C00354,14.66,13,15667.68,2453.18,1,25.51
C00355,15.56,6,18022.85,2197.07,2,21.88
C00356,14.5,11,20990.0,2078.68,2,19.06
C00357,18.85,6,9848.55,2190.4,12,62.74
C00358,18.39,4,4977.59,1622.44,5,64.71
C00359,16.95,9,23893.55,2402.1,3,13.31
C00360,24.81,11,11771.84,1990.4,3,23.45
C00361,10.64,2,3760.82,1519.24,1,40.3
C00362,28.13,18,35029.84,2721.13,2,6.87
C00363,26.27,20,42289.39,2167.38,2,11.06
C00364,39.81,21,38785.63,2795.43,2,8.71
C00365,18.78,2,7662.36,1968.13,8,42.91
C00366,15.93,1,16203.42,1916.45,1,19.16
C00367,14.61,0,8038.77,1428.67,7,35.77
C00368,15.21,3,8257.75,1849.88,5,31.96
C00369,9.14,7,18962.74,1887.11,4,16.05
C00370,3.14,2,3293.62,1597.47,5,32.96
C00371,14.49,4,7441.44,1599.75,3,47.34
C00372,11.56,4,15419.45,1733.52,4,22.21
C00373,12.58,8,10637.91,1926.98,4,23.77
C00374,13.72,12,12179.39,1663.33,4,29.7
C00375,31.45,18,32243.35,1989.9,2,6.57
C00376,20.26,18,53036.18,3324.99,2,12.91
C00377,7.03,2,4383.61,1206.47,6,51.75
C00378,20.28,11,27447.11,2377.38,1,27.82
C00379,15.95,9,13243.36,2284.17,2,18.7
C00380,13.01,6,12455.65,1818.61,6,49.4
C00381,24.64,8,17103.98,2442.51,2,17.74
C00382,1.0,3,5523.13,1716.37,4,29.77
C00383,16.65,2,6930.59,2108.88,6,33.81
C00384,10.11,5,21211.54,2822.36,5,4.73
C00385,26.53,12,12046.15,1993.88,5,21.85
C00386,1.76,3,221.25,1433.15,4,45.33
C00387,11.51,4,9936.88,2324.02,8,71.22
C00388,9.93,2,3116.36,1428.82,0,27.8
C00389,26.03,19,64967.31,2881.19,3,12.32
C00390,6.07,3,2683.41,1896.64,3,23.57
C00391,16.13,5,7046.92,1979.09,7,39.45
C00392,31.57,12,46369.38,3384.08,2,6.78
C00393,20.68,9,19056.6,2329.89,2,18.28
C00394,12.81,1,5198.86,2427.28,7,35.15
C00395,17.22,18,66050.68,2815.96,3,9.41
C00396,20.83,5,23218.85,1982.77,4,12.3
C00397,7.71,2,2799.76,1621.36,2,33.32
C00398,27.63,12,15576.11,2298.96,2,9.71
C00399,24.2,4,23170.85,2011.55,3,20.87
C00400,21.49,7,22229.77,2139.68,1,16.81
C00401,26.29,14,22228.07,1683.38,4,23.96
C00402,9.9,3,3472.24,1478.28,1,10.84
C00403,17.38,3,8893.94,1264.98,7,85.82
C00404,28.55,18,54781.02,3814.55,1,8.81
C00405,3.8,1,2935.53,1904.2,5,53.07
C00406,5.49,4,2444.18,1328.66,0,70.13
C00407,23.81,16,12747.14,2610.36,3,23.64
C00408,1.0,3,4022.47,1488.33,3,31.22
C00409,23.94,16,35325.45,3287.79,3,5.19
C00410,8.39,2,3426.76,1311.73,1,63.94
C00411,14.55,6,7615.77,1429.57,8,64.46
C00412,20.09,5,5868.01,1749.1,6,35.64
C00413,26.15,23,54136.04,2294.27,0,14.66
C00414,6.64,1,2643.81,1056.81,4,37.93
C00415,37.57,18,64865.79,3015.51,3,10.88
C00416,21.74,10,17952.17,2770.4,2,18.03
C00417,28.1,20,48134.75,3041.64,2,1.67
C00418,15.07,1,3164.04,1854.75,7,62.9
C00419,21.4,3,12875.42,2790.73,1,22.28
C00420,4.25,2,2176.77,1668.46,2,36.93
C00421,7.65,3,4468.2,1970.99,11,75.25
C00422,33.03,18,34551.23,2304.97,3,4.84
C00423,23.11,17,42441.58,2347.95,2,4.43
C00424,22.81,15,56701.24,2795.54,2,10.39
C00425,14.01,3,8676.13,2067.28,6,56.21
C00426,3.87,1,3999.89,1633.48,3,50.06
C00427,18.28,11,23207.99,2418.93,3,27.71
C00428,7.91,3,3366.71,1574.1,1,57.62
C00429,47.92,17,52638.95,2699.21,2,14.18
C00430,4.31,2,936.26,1272.72,0,56.37
C00431,18.2,2,833.21,1770.0,1,68.39
C00432,13.03,2,7055.11,2103.11,6,47.55
C00433,13.61,1,8492.58,1085.31,5,66.39
C00434,8.21,3,2915.44,1850.92,3,53.03
C00435,34.49,21,48044.83,2295.25,2,10.18
C00436,24.54,6,14921.06,2260.97,3,4.8
C00437,30.63,11,43492.69,3508.26,4,3.14
C00438,16.02,9,27015.52,1927.5,2,28.84
C00439,12.38,4,3807.14,1731.51,3,39.17
C00440,20.87,3,6702.24,1500.5,6,59.52
C00441,10.93,0,1918.71,1547.73,2,52.26
C00442,29.87,17,47258.32,2789.52,3,5.07
C00443,14.56,3,11400.88,1679.88,8,73.48
C00444,17.62,8,17519.26,2010.46,4,19.62
C00445,19.41,6,14646.29,2850.21,3,12.58
C00446,25.02,3,8945.39,1744.78,5,52.46
C00447,1.47,2,3384.84,2055.14,2,2.98
C00448,14.34,7,9665.92,1475.64,7,43.87
C00449,18.52,17,52823.74,2057.53,1,8.04
C00450,12.14,4,4463.33,2085.65,4,79.64
C00451,15.99,14,55756.34,3648.9,2,10.25
C00452,7.07,1,2362.82,1136.43,0,52.23
C00453,7.14,3,4245.44,1918.55,5,76.1
C00454,30.27,23,45199.18,2925.26,1,6.35
C00455,26.17,15,41060.47,2263.92,0,3.77
C00456,21.76,4,12843.45,2726.81,2,20.25
C00457,9.57,3,1020.99,1430.68,0,89.03
C00458,8.43,6,14317.3,1576.17,5,34.96
C00459,11.67,1,1907.69,1702.36,5,45.23
C00460,16.55,4,8307.71,1673.55,4,64.99
C00461,18.08,12,22555.34,1602.38,1,12.71
C00462,20.61,21,55161.79,3394.63,2,8.83
C00463,11.8,2,3088.53,1944.14,2,39.52
C00464,12.97,11,24566.73,2082.29,5,4.21
C00465,17.67,9,15728.53,2934.35,3,15.15
C00466,15.18,0,5600.33,2193.3,5,42.57
C00467,24.17,5,8792.48,1617.95,6,42.94
C00468,3.02,1,2196.53,1189.58,0,48.95
C00469,29.64,25,45984.95,3033.25,2,6.98
C00470,22.47,11,20473.35,2010.53,2,8.43
C00471,13.16,7,13942.13,2253.97,5,11.64
C00472,19.7,6,17627.85,1858.38,4,13.25
C00473,35.08,17,46153.57,2336.01,2,11.58
C00474,29.91,27,64868.09,2761.61,2,9.88
C00475,12.97,12,20627.2,2189.76,4,30.06
C00476,19.03,9,25789.24,2438.64,3,18.04
C00477,19.17,10,12895.3,1560.13,2,11.25
C00478,10.49,4,7077.68,1878.56,4,48.08
C00479,19.11,4,5688.57,1864.66,10,54.74
C00480,13.84,8,19414.8,2047.09,3,7.9
C00481,12.22,9,18256.29,1901.83,3,18.43
C00482,23.34,9,20795.96,1910.44,4,20.63
C00483,23.19,11,21649.31,2065.55,3,25.44
C00484,14.09,7,19816.44,2245.35,2,17.48
C00485,27.34,9,50023.65,2829.21,2,13.66
C00486,10.71,7,7245.12,1931.68,2,14.43
C00487,24.65,12,19350.36,1970.29,5,17.86
C00488,13.09,4,17014.08,2364.13,6,18.43
C00489,13.41,5,21483.8,1482.38,4,23.72
C00490,20.62,8,21542.23,2159.83,2,30.95
C00491,12.54,4,1453.46,2310.59,9,55.45
C00492,18.91,4,5893.04,2018.85,4,45.87
C00493,22.89,4,5734.06,1506.57,5,65.99
C00494,12.0,10,22360.81,2069.11,5,15.87
C00495,13.5,2,10042.94,1493.39,7,53.93
C00496,11.68,7,25222.93,2170.58,1,20.14
C00497,17.12,19,20283.06,1966.78,5,5.11
C00498,15.66,6,7209.5,1106.68,5,76.82
C00499,20.26,6,15916.41,1904.1,4,27.37
C00500,24.31,10,13007.6,1635.22,4,8.58
C00501,13.42,3,4656.02,1390.3,6,62.55
C00502,11.25,3,3095.75,1276.14,0,35.8
C00503,8.64,2,270.13,1264.3,4,46.43
C00504,9.5,16,18869.76,2234.52,4,15.43
C00505,13.63,15,23514.43,2387.68,4,10.98
C00506,23.94,2,8208.22,1144.24,2,59.77
C00507,13.15,3,21432.74,2842.03,5,16.2
C00508,7.04,3,4458.77,1396.94,2,50.41
C00509,21.32,9,18459.62,2582.94,5,21.34
C00510,40.03,16,66606.76,3144.13,5,3.23
C00511,23.17,20,55575.11,3777.56,1,11.62
C00512,11.65,3,1750.7,1922.33,4,55.79
C00513,29.43,19,51291.38,3188.35,2,4.61
C00514,11.71,7,19999.6,2090.57,3,21.51
C00515,14.24,13,17795.3,1948.3,4,5.14
C00516,22.47,22,36363.2,3402.91,4,6.52
C00517,19.75,12,16899.45,2403.72,2,14.66
C00518,9.4,4,10394.92,1726.35,3,38.76
C00519,30.76,25,55543.52,2725.9,3,7.04
C00520,5.49,1,4830.98,738.24,3,36.65
C00521,5.36,4,2071.63,1295.98,2,52.45
C00522,15.35,4,15104.36,2548.47,3,21.16
C00523,26.17,15,67098.13,2815.31,2,12.38
C00524,9.94,2,7525.62,1800.11,7,86.38
C00525,30.35,8,54936.69,2917.05,2,8.98
C00526,17.83,9,21758.7,1910.27,2,39.17
C00527,4.14,2,1055.64,1534.94,1,37.04
C00528,11.18,2,3738.93,968.64,5,23.55
C00529,25.7,5,8943.33,1458.01,6,47.94
C00530,18.17,8,9826.25,2492.62,3,14.61
C00531,11.08,4,5265.61,897.93,7,62.79
C00532,13.6,1,7722.34,1214.19,4,43.74
C00533,23.06,8,16984.6,2784.14,4,20.37
C00534,12.41,2,2033.98,2187.5,7,52.31
