age,tenure_months,orders_last_6m,monthly_spend,support_tickets,late_payments,discount_pct,churn
65,1,5,5048.835771100271,0,0,14.453715612202139,0
53,54,4,3263.9944580948195,1,1,19.121106317881736,0
57,56,11,1072.7875044913899,2,0,23.13963533774915,0
23,59,2,4379.540340425797,0,0,21.029625178730665,0
35,71,7,2269.5803440287705,0,0,27.82135606445981,0
61,56,9,4695.1986555201975,2,0,14.963023287544038,0
65,38,8,4233.078377166697,2,0,9.437595190135934,0
42,34,9,1649.1035195141633,1,2,19.089016169602985,0
63,28,8,3444.5793099230373,1,0,13.318817593934838,0
65,59,6,5255.711052271947,0,0,9.955553099847215,0
40,28,8,665.0761700909547,1,0,19.897066112894446,0
69,41,10,4109.326290405973,1,3,3.0228194975787837,0
34,7,5,6506.301674806107,0,1,15.133360501324205,0
31,23,7,1539.9334044054121,3,0,10.563320056177474,0
56,19,11,365.570606212199,2,0,8.036331343640434,1
54,31,12,8360.244744690652,3,0,16.63471850885749,0
25,36,4,300.0,2,1,11.28469024187631,0
65,51,10,3359.4649703741325,2,1,11.328026459242285,0
29,31,4,5642.227195979229,2,1,7.811164148320373,0
63,11,12,5921.6990085928755,1,1,9.015527004112359,0
18,39,9,4039.040408775132,3,0,13.815005893054417,0
63,4,9,6200.857292870069,3,0,20.432209171659686,0
62,61,8,3082.4327220803543,1,2,20.96695606175705,0
62,55,6,2651.2694409349256,0,0,0.742658219373963,0
55,16,7,3744.294129100925,2,0,5.577206429049266,0
44,19,6,4230.149589367861,1,1,16.35768022891539,0
58,2,12,4317.254787839106,1,0,12.903711561514399,0
33,26,9,1776.7187340046887,0,0,23.624935963209616,0
62,3,8,3659.4692098390915,1,0,20.351727255411042,0
49,67,5,1595.9358595285864,2,0,5.658619930093904,0
44,10,3,3207.06304543574,1,0,0.0,0
46,47,14,4566.384613498534,6,1,16.030644413256024,1
50,41,6,4466.207676746226,0,0,13.98932417957269,0
20,17,8,7019.628429543129,3,0,12.261454282884134,0
25,58,7,2570.2163186013327,3,2,6.8775843039141815,0
31,8,8,5398.525575818907,1,1,17.147439358811255,0
24,63,11,7134.69367251416,2,0,19.43881004710679,0
43,53,5,7657.052172363659,2,0,16.84850436716564,0
56,46,9,5393.740577952314,2,0,10.579334942421239,0
55,63,2,987.9670982834677,3,0,13.100473361198338,0
44,29,11,1718.1222405455605,1,1,5.814177561020214,0
66,20,8,1941.4964247785297,2,0,6.036563286971891,0
50,11,6,3744.784325096071,2,1,24.100766251836426,0
22,66,5,6951.438033587725,1,2,17.389786977074635,0
61,29,11,3247.0336161406008,1,5,15.238640036381986,0
50,59,4,2135.2716088204957,2,0,12.185933802068691,0
54,24,8,5714.383104712473,1,0,20.75515404362644,0
50,68,6,2636.328875824871,1,0,29.355975756548574,0
49,62,6,5336.062946794569,2,0,11.271820242075515,0
23,22,7,2849.8043542239916,2,0,18.060800773461718,0
49,35,5,5143.124435353886,3,1,5.008061430513818,0
63,57,11,3987.1653937728606,1,2,19.01615912152837,0
35,17,11,2973.0461511317767,2,1,19.770971822667,0
52,2,10,932.8873603114998,2,0,10.141249494678531,0
19,21,6,3590.3230469017776,1,0,15.693850187412911,0
37,42,7,1202.9152957500837,0,0,16.434424728380435,0
42,10,6,4169.4051540670625,0,0,25.715154070557283,0
74,24,7,5194.804411146052,3,1,19.315509326038907,0
30,66,12,4526.587027219481,5,1,23.105531658198846,0
33,6,3,3420.2980861881992,2,1,19.0651108511997,0
41,4,10,3399.9142465401633,4,0,12.343347573640735,0
74,31,12,4804.802521195211,2,0,0.0,0
66,1,4,2406.1822615870997,1,1,25.426763570553174,0
19,2,6,3840.7310443611445,2,0,14.981096545017696,0
31,13,7,1009.1846820039714,2,2,11.73768954745968,1
64,8,6,2183.5834188152094,3,0,26.78771593930009,0
21,58,5,3953.4573181665046,2,0,28.533626734942178,0
66,9,3,1088.700565561533,0,0,18.640789561496877,0
34,38,13,3858.8315278693563,3,0,21.01482988705206,0
70,51,3,4667.9563582823075,0,1,0.0,0
34,45,7,2236.7360447853944,1,0,24.536472944939618,0
42,47,9,4111.306908947907,1,0,4.528848579295184,0
55,26,5,1062.7130120256243,0,1,11.854631256354164,0
25,64,9,4313.037257532498,0,1,5.540640214801396,0
49,5,7,2671.730903797599,3,0,11.542134321185655,0
46,8,6,1758.7085471562236,3,0,22.29454381585257,0
62,61,8,2847.2499981311403,2,1,32.049816206450956,0
74,5,14,1356.497058124367,0,3,3.737430308790822,0
55,14,5,4879.161544266262,0,1,21.84167056067681,0
41,13,7,3727.600476057466,1,0,16.505047832568223,0
41,3,9,5367.569544006387,2,1,22.65677015131816,0
41,9,5,300.0,1,2,9.165618385742476,0
64,41,6,5107.672029014775,4,0,20.995540718766055,0
36,47,9,552.1819701730428,1,1,10.002101347878643,0
27,6,7,3399.725933683742,1,1,25.43572501012825,0
37,67,10,7808.172861378303,3,0,18.52143527991359,0
19,7,6,628.7920725876866,0,0,31.689028415567936,0
24,49,8,3497.170099121462,3,1,7.2084832988845475,0
23,57,8,1596.5830526293933,0,2,20.493639315148243,0
61,37,7,2436.255344221764,2,1,8.604686376872216,0
59,35,9,1695.119527867602,1,0,20.250529370813997,0
57,8,7,300.0,1,3,19.532297441918615,0
44,18,8,4422.841065159705,1,0,16.245018015653187,1
58,61,9,3530.2822825681747,2,0,16.048462029567627,0
27,25,14,1799.8418684171033,1,1,29.717838596723993,0
69,3,8,5747.530499436563,2,1,18.086511099052817,0
46,52,7,4462.015708134066,0,0,18.991993297319574,0
71,49,5,3505.9502553457787,2,0,13.892098593902418,0
26,5,8,4461.026400871246,3,0,22.460558408399894,0
46,4,11,4473.459943097653,0,0,15.80074493496102,0
57,9,5,3425.787776104493,2,1,26.27075161509955,0
46,4,6,4300.169890116785,2,0,15.23689021939303,0
43,44,8,3929.973952658909,2,0,16.308539274027893,0
27,10,8,2818.321435345137,2,0,17.181471065574303,0
39,44,14,2215.6762271979132,0,0,3.3383358798573983,0
31,13,4,2262.2379160598393,3,1,1.1027220529235535,0
35,70,5,1857.813275395459,3,0,21.141698898172628,0
56,52,4,3209.613540223298,2,0,8.500484822974244,0
53,27,5,4417.232990344155,3,0,13.122081450397683,0
52,31,5,5125.1718777234655,2,0,14.564885410025653,0
38,5,8,3874.597107217967,1,1,15.49736667759697,0
72,4,7,5474.508728000203,2,1,4.729459285284879,0
22,39,10,1423.0534433848156,0,0,4.901784825685498,0
37,2,15,5400.632974712416,1,0,12.879238857038832,0
24,46,9,5262.87206756575,1,0,13.170296727477739,0
37,28,9,960.5120173140067,3,2,21.164185096953066,0
72,10,11,1389.6567189208072,1,2,13.668670381799688,1
38,39,7,2287.6903959423494,0,0,20.159873308480297,0
69,40,7,4361.825497957556,3,2,11.768963937160379,0
46,53,8,300.0,2,1,25.254449864753855,0
57,15,6,3964.287267574993,5,0,22.872041285610933,0
44,39,13,4505.227127895312,3,0,16.0266882152758,0
33,60,4,6802.60303903921,1,0,2.855142896346633,0
61,20,13,6158.857069275704,3,0,6.138462032134031,1
73,60,8,2739.6925172203787,1,0,18.685987922055947,0
33,52,10,2380.5656607974724,4,1,19.43091438889116,0
62,31,10,5530.143893223263,1,1,2.2275279559040566,0
32,63,11,5773.966157178425,1,0,18.674722229746777,0
58,69,10,4463.8007794760315,0,0,19.374959773317713,0
62,17,8,1302.450979680762,2,0,37.179202995915404,0
43,70,4,3430.526992775345,0,0,15.630882643053985,0
60,1,12,2485.4960094962707,3,0,21.479964044311604,0
33,10,14,1283.8240332411942,3,1,3.053079767037156,0
22,4,5,4007.6907797990807,2,0,12.68677011957535,0
23,27,13,1878.4214082332487,2,0,9.830875339391106,0
43,67,10,7600.516134049706,2,0,22.34476068921307,0
69,43,13,1616.3921524450477,0,1,17.569794368002924,0
25,44,4,300.0,3,0,9.293743134094818,0
43,7,7,3843.5212478642716,3,0,8.46263332743547,0
58,37,14,6246.196867753545,1,0,20.320533658875856,0
29,28,10,3788.9515193037846,0,1,26.829995158136093,1
59,35,13,2542.910115420646,1,0,27.361620013511143,0
35,19,11,1572.2727833554907,3,0,10.372955976097632,0
64,15,7,897.4234574966185,2,0,15.507849728524523,0
51,68,12,2429.962898319568,0,1,23.324141713960962,0
49,40,8,1649.749942273517,1,2,6.303060825511498,0
28,30,4,3824.469525149994,2,0,23.447362787560376,0
44,6,7,3222.029565794289,1,0,8.835073198554777,0
66,55,10,3626.3844399670097,3,0,8.72279886525943,0
19,34,9,1886.7634277179045,1,0,7.874822635184677,0
61,28,6,3157.0864554827153,1,0,16.311978338699358,0
46,48,16,5226.793994269314,2,0,13.546175578397264,0
59,10,13,300.0,1,0,18.574767651120908,0
55,38,14,1966.0260678449579,2,1,15.74167829028246,0
42,62,10,2926.205659487021,1,0,20.018832173026592,0
35,33,10,2678.1710642057587,2,0,16.434860850894896,0
53,1,15,6204.107585287058,0,0,8.378909524486183,0
25,17,6,533.584789221834,0,0,0.0,0
51,4,6,300.0,2,0,10.25159881673272,0
23,36,8,5590.945676022433,0,0,22.980884053938283,0
55,26,9,824.6195737432859,1,1,12.903983950359933,0
53,10,4,2064.3184652109076,4,1,26.031616585721785,0
22,49,4,4059.260648817459,0,0,15.826508422848223,0
61,13,6,5761.894228696858,2,2,20.628186626512473,0
41,25,9,2206.762815925111,0,3,22.336023649449327,1
62,71,14,2361.217231398491,2,1,13.096305699212397,0
20,5,7,1277.8188713028976,2,2,20.75913275619052,0
28,18,9,3542.08652697012,0,1,13.554397163653544,0
46,23,10,6205.505585970439,4,1,16.42853615264728,0
28,37,10,2345.7907991333004,0,1,24.816589013007572,0
36,18,8,1864.2588382863028,2,2,10.980256130355315,0
55,69,3,3249.779197832113,4,0,4.158253717892867,0
26,1,8,4501.659741040564,2,0,10.826324643693226,0
56,68,6,4964.229930152159,0,1,6.598667816085035,0
23,38,8,3164.890098608827,1,1,1.4255908188631263,0
27,3,13,6335.76860028973,3,0,28.21649150388867,0
51,9,9,4596.895474247658,1,0,18.116404932320208,0
63,8,5,3517.650818796207,1,1,11.860699723732685,0
27,21,8,3444.8455884967566,0,0,18.062665394121446,0
35,24,11,300.0,2,0,18.699886035680283,0
70,46,1,2404.068565979442,2,1,10.464408433004547,0
74,23,11,1621.5744511066534,0,1,7.32370671422656,0
51,52,7,3017.979033007672,1,0,6.446122037531303,0
43,21,7,1909.7140877043773,5,0,3.2375004492371886,0
37,19,11,936.8518180820856,1,2,2.0728361991509168,0
52,20,10,5051.853027894589,0,1,30.05754191410181,1
51,24,7,394.27077428019584,3,0,9.362216114110737,0
34,60,6,7830.291765657641,2,1,13.128899306007856,0
19,18,10,1519.0955529473742,1,1,19.498722337627537,0
26,20,13,3343.518782459229,1,1,12.01982424775419,0
72,68,13,951.1623794307079,1,0,15.127373809779234,0
41,47,10,1728.9334818168713,1,0,5.389764567844013,0
45,14,6,4941.360941476055,1,0,15.063586535842497,0
44,62,11,2135.6050510281743,2,1,16.685320354048972,0
62,14,3,2280.5578300229686,0,0,2.960919387854112,0
21,12,7,5246.495006137433,2,0,12.180638424590722,0
22,32,12,6944.505540266625,3,0,13.133318126832869,0
33,50,5,2750.4514354838743,1,0,18.748020699207125,0
45,14,10,300.0,3,0,7.68206061012719,0
56,54,15,2855.8580340131175,0,1,6.61030959117517,0
45,12,5,3011.3099486752903,2,0,29.858786969672728,0
43,56,7,3423.9951581907285,1,1,23.785122397074474,0
71,7,11,4602.393112466808,0,1,29.191667150097302,0
27,33,12,4964.634271683501,2,1,22.450388394314693,0
50,46,9,2014.1568393922641,1,0,14.134439895325974,0
48,19,9,3678.4447122222477,1,0,24.345567632461556,0
44,44,5,3773.253785723885,2,1,13.763528497611153,0
64,49,7,6682.851885996804,3,2,13.132141606109228,0
33,47,14,5103.578850613186,2,1,21.71590487440994,0
72,29,9,2325.179047684328,1,0,17.523930991512582,0
36,55,4,1258.1822213527166,5,0,18.308967546388573,0
49,52,7,2642.9482940689913,2,0,24.00900925850516,0
47,24,7,3592.2039838601527,1,0,12.291221961816653,0
66,53,9,3009.172096298927,3,0,8.776135390150095,0
43,66,15,1852.1246732031905,2,2,7.420943175791041,0
34,58,8,1922.0198538025406,1,2,16.160177101335936,0
19,53,6,5147.742824651472,1,0,14.022772670456883,0
38,55,8,300.0,2,0,21.466863753042468,0
65,58,6,5719.730830330303,0,0,17.534332644018697,0
18,21,14,3554.2872220469826,3,0,17.47423764866545,0
69,52,6,2001.4820577048313,0,0,4.516996738977356,0
48,15,4,3546.909741101049,0,0,22.619879970824908,0
25,26,4,5217.614159774778,1,1,11.154101352899094,0
35,67,9,3962.1869775616915,2,0,21.868678398654513,0
49,21,11,2436.3207603244,1,1,16.250372236473158,0
35,60,4,2663.8873868274677,0,1,14.395211955697581,0
24,30,4,3078.5310347104432,2,1,18.376602482597427,0
55,15,10,4315.044343069614,1,0,18.369425694046452,0
56,7,6,603.9886285673042,2,0,18.50155277745514,0
24,39,2,2525.0951711232974,3,1,8.855804865294672,0
34,33,12,3359.0401426536405,1,0,10.295449698968305,0
31,37,10,3447.7333605743247,0,0,19.353846862331313,0
55,4,6,2778.838789564342,0,0,26.53094028066098,0
59,20,8,3676.360873966037,1,1,10.653366839093412,0
59,1,6,300.0,0,0,27.282523263090674,0
71,22,9,300.0,1,1,18.7360680038081,0
61,67,8,6052.731471518691,3,1,17.31823589399315,0
36,11,5,3403.1873801957827,3,0,22.018184697697965,0
24,49,6,3180.5850570430844,1,1,15.031991323156149,0
53,1,10,300.0,1,0,7.6798802392787575,0
70,40,6,300.0,4,0,18.487583750685314,0
73,66,14,4163.077792857774,2,0,16.469714166878365,0
31,25,11,5827.100093486262,2,1,8.737928001120446,0
31,14,8,1779.5627387314955,0,1,10.067557578076013,0
20,41,7,3985.837340290701,1,0,24.721006528314998,0
26,20,9,5444.506358285073,5,0,9.15291403216354,0
49,64,13,2906.0227649833696,0,1,19.595059581770222,0
49,61,4,5722.407362599804,2,1,24.65846533239707,0
39,47,8,2823.0539255149843,1,0,22.374181776048214,0
35,46,16,3950.431593067107,0,0,11.217010572086606,0
65,43,6,6651.234416811047,0,2,10.635028891681348,0
44,53,9,4785.022399724322,1,1,10.274298709062679,0
64,33,9,3237.733528392524,0,0,23.046331238212296,0
72,69,12,2364.3681002306557,2,0,25.433857753305674,0
36,25,10,5446.519827470598,1,2,20.194065315855127,0
29,1,7,4561.452587285455,1,2,23.100012733231814,0
72,50,8,4698.061725055935,2,0,14.345032087943858,0
54,48,8,3757.5155133888147,2,1,20.924456610760966,0
34,70,7,5020.39628577586,2,0,16.554801037460095,0
53,29,8,1839.2151964127938,2,0,17.241568679369482,0
47,31,7,2186.726487285808,3,0,19.389161516140422,0
69,40,8,1852.9843864848194,3,1,0.0,0
32,28,8,4597.01154896859,2,0,9.036915246279705,0
74,56,6,2286.1216978414395,3,0,18.171497071082857,0
71,31,7,2069.102542269876,2,1,8.520165178413464,0
28,56,9,3742.0257352176986,2,0,19.920938493049466,0
27,31,9,1672.2307921855727,1,0,26.477780986019958,0
48,16,9,4377.276756693183,6,0,23.129722747344374,0
20,71,10,2477.2769281321816,5,1,2.4495204708436855,0
35,38,11,6011.390216475762,3,1,10.67280447592444,0
42,51,5,5936.994754184065,1,0,21.075354768062166,0
73,42,6,6497.974076369393,0,2,14.120066998153519,0
74,26,3,1499.3562871985953,0,1,25.696831746272945,0
26,70,7,3010.504953464809,3,1,8.517882084846956,0
68,27,10,5398.914845783841,0,0,12.672138526500735,0
23,71,8,6551.920757679277,2,0,14.999248679282633,0
60,31,5,726.7450231747516,2,1,19.586770924789146,0
66,2,10,4693.649960607354,1,0,5.503506295598397,0
68,3,6,3849.963745310818,1,1,24.09081370747751,0
30,70,6,4057.617037383539,0,0,23.19867214966238,0
68,38,5,1617.287516433333,2,2,17.734303407428282,0
24,28,5,2773.649164907273,3,0,5.348149784640947,0
47,58,9,5286.289528076931,1,0,35.19537352752438,0
44,44,6,5236.484561541777,1,0,13.538773349696267,1
36,47,13,3942.9858205452892,0,1,1.6034139697197158,0
19,49,6,5762.423129402632,2,0,8.500549859266208,0
62,15,8,5156.830202180875,1,0,0.0,0
37,7,7,6445.1197378797515,4,0,5.942853491424687,0
55,52,10,4596.923756512624,1,2,13.438982748446506,0
41,2,8,8668.513800900446,0,0,32.47541413844725,0
39,52,4,2967.749068179699,0,0,5.298883996583296,0
68,10,5,7185.040938014303,2,2,25.47224104516328,0
23,19,10,1726.6916544582139,2,2,18.30969245570383,0
59,51,12,3327.0681847836136,0,0,8.970323598506273,0
60,45,9,4801.236531208852,1,2,0.0,0
39,56,7,300.0,1,0,13.199338253119553,0
32,44,8,2520.0909889495824,3,0,9.614814793618844,0
18,4,5,7530.393933901598,2,0,33.21913604398544,0
71,60,5,6194.344979460079,0,0,7.599114330492153,0
72,16,9,827.4478241716488,3,3,17.405648235277667,0
31,10,10,626.6858115299219,1,1,9.468851528338009,0
19,63,7,787.1145913795594,3,1,15.627837726008348,0
24,14,6,1977.242752156158,1,2,20.861980337862267,0
21,39,10,3473.083431380919,2,1,6.069345074279392,0
65,35,7,5065.313429172624,0,0,18.6405978045426,0
68,55,13,5444.901053969221,2,0,11.52762554609577,0
26,4,9,6836.548130053632,1,0,12.265749641183918,0
60,8,2,5997.247043874713,5,1,16.642952020097926,0
28,30,9,300.0,1,1,26.51863652959471,0
38,34,6,2653.2905218157116,3,1,25.87780610870479,0
52,56,3,1021.680906843807,3,0,6.310714127011764,0
59,44,4,7792.302326378385,1,0,13.511061957784921,0
67,11,6,2842.4880630898306,2,0,21.59017361920454,0
20,70,7,2198.162585668868,1,0,16.311046476597074,0
29,33,6,4920.563694744342,2,1,12.233279668679598,0
33,69,7,3076.7781952279083,0,1,13.93019107189094,0
35,71,11,5537.492913498511,3,1,14.179954104139632,0
74,4,4,2440.08972071687,3,0,12.23287444956922,0
62,36,10,5268.858585355506,0,0,1.06277876294652,0
36,30,14,300.0,0,0,6.945459944650489,0
73,36,7,8123.9653047586,2,0,9.406802544279474,0
46,23,7,4876.1047381217195,3,1,5.411417667779107,0
46,40,8,4161.24742668221,0,0,27.62859168143857,0
42,35,7,2642.667649493972,0,1,19.267754853949807,0
26,14,6,3471.161020858623,1,2,18.894767885525447,0
71,21,11,3435.313151615518,2,0,14.198260890545939,0
18,11,14,3177.4289505957013,3,0,24.53144658967939,0
27,60,8,4052.857499648145,3,1,9.975971184129612,0
31,49,9,3300.140895060251,1,1,26.1413504126617,0
33,28,7,3418.381194048022,2,0,16.973665039206782,0
25,29,4,2795.825506869487,2,0,15.074978002443792,0
19,6,4,3276.9338442882777,2,0,9.182265458207912,0
56,21,6,3963.1211523460024,1,0,24.811350299585605,0
73,66,6,3791.503321943966,1,0,5.887659681332286,0
24,3,10,3385.2970285304323,1,0,25.97240553897451,0
34,11,9,3046.104691069708,2,1,1.9725724532021989,0
46,61,9,4554.704114543669,0,0,7.432167199271875,0
70,37,11,2371.8821215151884,1,1,9.624326524380102,0
57,3,8,401.77168850058706,1,2,8.681420892693286,0
61,35,7,3360.6010383200432,5,0,12.800826150391813,0
51,54,14,5147.457655884986,1,1,14.20096582099586,0
41,25,7,4433.928825643336,2,0,10.042359965759715,0
29,28,10,4984.464375270394,3,0,15.019697006066691,0
67,45,8,2797.211787904985,3,2,13.18595620321385,0
63,43,7,4318.162981103237,2,2,29.592294018390984,0
19,65,6,7262.487068774761,1,1,28.30035259330186,0
58,18,9,1396.0377557104416,1,0,10.0975313152599,0
22,20,4,4408.787922406798,2,0,11.718173385655563,0
60,12,10,2868.3266989483636,0,1,0.9296694642351699,0
65,48,3,5863.913004223584,1,1,5.850931152294418,0
25,38,9,3510.560754855043,4,0,18.473521633606623,0
42,25,5,3017.5013986558306,0,3,20.99981530817857,0
25,50,10,1001.4072651883967,0,0,3.7269272726626888,0
50,27,8,1830.8968874930672,2,1,4.239877031296958,0
70,14,8,2855.2751240202824,2,0,4.1882545426990365,0
22,39,6,5194.1084990412255,1,1,14.431877163631324,0
40,31,6,6293.127428344205,1,1,16.547501064625333,0
73,29,8,3277.9230457567664,2,0,15.376569853141612,0
35,32,9,2907.9153163893207,0,0,2.852869537713673,0
25,65,3,4162.2105144386915,0,1,18.943538037572473,0
45,16,16,3899.2468975729917,0,0,23.515878117537476,0
46,20,7,3208.128249438387,1,0,5.766874023036888,0
55,41,16,3458.3168746028855,0,0,11.995013714008282,0
35,4,8,4039.520243278622,1,0,13.438276425800197,1
72,11,3,5641.475705199867,5,0,7.100356501383668,0
47,41,5,2252.680156526941,3,0,10.670245367682561,0
34,37,8,1186.3308463230178,0,1,13.592777388200652,0
72,47,5,3847.616739099214,4,0,27.39940192994238,0
70,9,9,1873.7769162898037,1,1,31.594814515768824,0
46,61,10,6073.493453857015,0,0,20.15701203113488,0
19,35,8,4168.2200101809485,0,1,6.857508761846381,0
52,12,8,3279.4571845382225,2,3,1.7179909377778717,0
49,23,9,3440.907474997452,2,3,13.06249535136359,0
26,17,6,4246.0158940961455,1,0,18.952902359393114,0
54,33,10,4629.007598439499,2,0,4.404415204927725,0
65,34,4,7993.978963966483,1,0,26.354680210922034,0
24,31,7,1611.0481455405088,1,0,22.91189061362031,0
59,33,10,5268.797309509039,2,1,16.074423770354375,0
25,65,6,7571.52720669987,1,0,4.247274340446706,0
60,69,9,4211.171271621421,1,0,18.04436347347064,0
41,35,7,3651.0837829298757,2,0,5.051811789210886,0
18,69,3,2869.2843278989008,1,0,23.058689764403724,0
73,59,14,3379.53533792192,0,0,1.6762843051547378,0
27,59,8,3459.771453880763,3,1,21.128280664231106,0
51,17,6,5648.120338080993,2,0,12.70100667578755,0
28,32,7,5805.635481417692,1,0,2.354359243073505,0
71,25,4,2609.4946253261087,1,0,22.94118120186223,0
60,7,9,5869.298473675606,2,0,20.68698557936417,0
63,6,8,3864.821223407639,1,0,4.14912928862257,0
42,45,11,3958.9643102642563,0,0,19.005399549492648,0
44,30,7,5228.072052263988,3,1,4.328499382377604,0
54,59,11,3157.248615344804,0,1,16.28662460407953,0
62,48,13,3783.771181507532,1,0,13.397903422080914,0
66,7,6,4167.269908272123,1,0,7.386016353451094,0
19,60,9,6187.535120897932,1,0,20.653670033940244,0
55,36,5,300.0,1,0,15.379024244399945,0
24,41,7,3874.5096240268786,2,0,2.3227789722766694,0
34,69,10,1753.9629136616506,2,1,0.0,0
65,46,5,5769.169581179244,0,1,10.720007503088569,0
32,2,8,1486.5254819885315,2,1,1.1879977826568524,0
63,13,7,5551.401639455946,1,1,24.530683121162372,0
44,31,10,2560.2824485722035,1,0,31.780419265250583,0
31,3,11,7175.643213306041,3,1,6.267487607175225,0
37,12,14,1807.2696151326008,2,0,0.0,0
48,57,3,3869.3866558846194,1,0,16.976726687903273,0
61,11,11,4391.290096667387,1,1,10.950353837028228,0
52,12,6,3213.9277446377014,2,0,21.503299445002803,0
71,36,10,1100.8046438979682,0,0,13.997030131051483,0
67,7,6,4183.816276840144,4,0,10.691952297841095,0
60,19,12,335.77950330854037,1,0,16.229199507809994,0
52,67,11,4096.24224378566,2,0,0.0,0
